,id,make,model,true,predict,score,max_depth,min_samples_leaf,min_samples_split,n_estimators,alpha_value,trainScore
2726,3101761,Nissan,Qashqai,10.220121446937677,10.145700459244487,-0.0584451355257666,8,1,2,600,1,0.04844479508910672
985,3091054,Skoda,Octavia,9.90323752128092,9.834274496953634,-0.0584451355257666,8,1,2,600,1,0.04844479508910672
13867,3163703,Volkswagen,Polo,9.392578591964389,9.452033214095712,-0.0584451355257666,8,1,2,600,1,0.04844479508910672
12631,3161229,Peugeot,5008,10.757796492054402,10.521952638190037,-0.0584451355257666,8,1,2,600,1,0.04844479508910672
15533,3166672,Renault,Clio,9.792555991828847,9.888550959445858,-0.0584451355257666,8,1,2,600,1,0.04844479508910672
925,3090679,Skoda,Superb,10.04107321548869,10.234083898227391,-0.0584451355257666,8,1,2,600,1,0.04844479508910672
1347,3093470,Nissan,Qashqai,9.925738161470948,10.090821657591048,-0.0584451355257666,8,1,2,600,1,0.04844479508910672
9298,3154262,Mazda,Demio,9.099408811268901,9.380690056888778,-0.0584451355257666,8,1,2,600,1,0.04844479508910672
11345,3158790,Audi,A1,9.468851067127684,9.664539447655896,-0.0584451355257666,8,1,2,600,1,0.04844479508910672
15618,3166818,Skoda,Kodiaq,10.544024782823776,10.63791838781589,-0.0584451355257666,8,1,2,600,1,0.04844479508910672
2006,3097851,Dacia,Sandero,8.954802752850968,9.264970779841207,-0.0584451355257666,8,1,2,600,1,0.04844479508910672
14465,3164845,Bmw,X1,10.517320926376348,10.555636388991065,-0.0584451355257666,8,1,2,600,1,0.04844479508910672
3266,3104483,Bmw,5 Series,10.48849257447637,10.476486884109471,-0.0584451355257666,8,1,2,600,1,0.04844479508910672
2193,3098855,Peugeot,Partner,9.185022563991893,9.45230528567727,-0.0584451355257666,8,1,2,600,1,0.04844479508910672
5776,3136612,Ford,Fiesta,9.301094735244646,9.345841255699822,-0.0584451355257666,8,1,2,600,1,0.04844479508910672
1431,3093985,Toyota,Yaris,9.383452989684827,9.429070947019722,-0.0584451355257666,8,1,2,600,1,0.04844479508910672
4555,3132977,Volkswagen,Caddy,9.047821442478408,9.32197943656868,-0.0584451355257666,8,1,2,600,1,0.04844479508910672
15799,3167103,Volkswagen,Touran,9.708080756193517,9.807088477953194,-0.0584451355257666,8,1,2,600,1,0.04844479508910672
13838,3163654,Bmw,5 Series,10.184522582266116,10.34000874146005,-0.0584451355257666,8,1,2,600,1,0.04844479508910672
566,3088210,Nissan,Juke,9.21024036697585,9.80108478489953,-0.0584451355257666,8,1,2,600,1,0.04844479508910672
12298,3160617,Volkswagen,Tiguan,9.648272670221848,9.94585120478885,-0.0584451355257666,8,1,2,600,1,0.04844479508910672
6520,3138750,Bmw,1 Series,9.903487552536127,9.81368711587187,-0.0584451355257666,8,1,2,600,1,0.04844479508910672
2438,3100208,Kia,Sportage,9.74090979777877,9.702442223178306,-0.0584451355257666,8,1,2,600,1,0.04844479508910672
6481,3138649,Audi,A3,9.947504437952903,10.06333948844039,-0.0584451355257666,8,1,2,600,1,0.04844479508910672
10188,3156170,Audi,A3,9.811920359010637,9.918673342660218,-0.0584451355257666,8,1,2,600,1,0.04844479508910672
3980,3108444,Mercedes-benz,C Class,10.543893021838013,10.581927000462048,-0.0584451355257666,8,1,2,600,1,0.04844479508910672
14886,3165522,Kia,Ceed,9.708080756193517,9.620692852407274,-0.0584451355257666,8,1,2,600,1,0.04844479508910672
2605,3101038,Mazda,CX-5,10.084766899751639,10.46557470532991,-0.0584451355257666,8,1,2,600,1,0.04844479508910672
1383,3093634,Bmw,3 Series,9.82822506803558,10.047343228082761,-0.0584451355257666,8,1,2,600,1,0.04844479508910672
