,true,predict,make,model,score,alpha,epsilon,max_iter
14646,9.959395184474424,9.996157105637376,Opel,Grandland X,-0.04223098358344622,0.99,1.35,500
8347,10.165659490817816,10.150081403569855,Opel,Grandland X,-0.04223098358344622,0.99,1.35,500
8142,10.124629101179664,10.254559813809271,Opel,Grandland X,-0.04223098358344622,0.99,1.35,500
4099,10.062625773874425,9.660201967413414,Opel,Grandland X,-0.04223098358344622,0.99,1.35,500
7612,10.34158118013602,10.337638811228942,Opel,Grandland X,-0.04223098358344622,0.99,1.35,500
11689,10.063691304076464,10.12297348008157,Opel,Grandland X,-0.04223098358344622,0.99,1.35,500
16680,10.146433731146518,10.160202116815709,Opel,Grandland X,-0.04223098358344622,0.99,1.35,500
15059,10.307284603543595,10.98722403317586,Opel,Grandland X,-0.04223098358344622,0.99,1.35,500
2480,10.077230753555211,10.150200385305613,Opel,Grandland X,-0.04223098358344622,0.99,1.35,500
10612,10.163926888594034,10.095737706245183,Opel,Grandland X,-0.04223098358344622,0.99,1.35,500
9599,10.643041105910228,10.706092752135254,Opel,Grandland X,-0.04223098358344622,0.99,1.35,500
4619,10.1226230824528,10.055565564086555,Opel,Grandland X,-0.04223098358344622,0.99,1.35,500
2168,10.201738576337144,10.01253744991342,Opel,Grandland X,-0.04223098358344622,0.99,1.35,500
9370,10.1226230824528,10.146297214042733,Opel,Grandland X,-0.04223098358344622,0.99,1.35,500
4356,10.544024782823776,10.624732456450898,Opel,Grandland X,-0.04223098358344622,0.99,1.35,500
15021,10.49515556414622,10.595778564165315,Opel,Grandland X,-0.04223098358344622,0.99,1.35,500
14267,10.04107321548869,10.035995811566332,Opel,Grandland X,-0.04223098358344622,0.99,1.35,500
1863,9.792555991828847,9.725284497836348,Opel,Mokka,-0.002694894425465627,0.15,1.35,500
6285,10.355995266977605,10.393993449535783,Opel,Mokka,-0.002694894425465627,0.15,1.35,500
11409,10.425253116340453,10.353380090709837,Opel,Mokka,-0.002694894425465627,0.15,1.35,500
7735,10.248848736574587,10.351884837154326,Opel,Mokka,-0.002694894425465627,0.15,1.35,500
1796,9.546455401949554,9.574133355227225,Opel,Mokka,-0.002694894425465627,0.15,1.35,500
8948,9.67721410821299,9.654658739416204,Opel,Mokka,-0.002694894425465627,0.15,1.35,500
13939,9.90323752128092,9.929630363450663,Opel,Mokka,-0.002694894425465627,0.15,1.35,500
1492,10.30521234102857,10.28571354388237,Opel,Mokka,-0.002694894425465627,0.15,1.35,500
16342,9.949893925350283,9.953898889897017,Opel,Mokka,-0.002694894425465627,0.15,1.35,500
1299,10.291976036437175,10.394005721593093,Opel,Mokka,-0.002694894425465627,0.15,1.35,500
7615,10.351373376528244,10.325928590388552,Opel,Mokka,-0.002694894425465627,0.15,1.35,500
7476,10.349774655164548,10.358285026149812,Opel,Mokka,-0.002694894425465627,0.15,1.35,500
9602,9.898475010712584,9.944337333285795,Opel,Mokka,-0.002694894425465627,0.15,1.35,500
9024,9.846917201047734,9.809499056869656,Opel,Mokka,-0.002694894425465627,0.15,1.35,500
12495,10.519888668850758,10.483280655205112,Opel,Mokka,-0.002694894425465627,0.15,1.35,500
17349,9.506734385029985,9.563091717207337,Opel,Mokka,-0.002694894425465627,0.15,1.35,500
7444,9.67721410821299,9.663223074274102,Opel,Mokka,-0.002694894425465627,0.15,1.35,500
13650,9.47231994707559,9.511740981310597,Opel,Mokka,-0.002694894425465627,0.15,1.35,500
908,9.54287630006159,9.566704491422927,Opel,Mokka,-0.002694894425465627,0.15,1.35,500
12630,10.509168707314798,10.59226778628231,Opel,Mokka,-0.002694894425465627,0.15,1.35,500
8359,9.099408811268901,9.19005990482019,Opel,Mokka,-0.002694894425465627,0.15,1.35,500
15005,9.73477299914839,9.732456678920428,Opel,Mokka,-0.002694894425465627,0.15,1.35,500
8055,9.738023112808596,9.760554513541445,Opel,Mokka,-0.002694894425465627,0.15,1.35,500
10242,9.531336323457896,9.418990554576187,Opel,Mokka,-0.002694894425465627,0.15,1.35,500
10132,9.259130536145614,9.229747174200577,Opel,Mokka,-0.002694894425465627,0.15,1.35,500
10981,10.292145542327912,10.263069525100468,Opel,Mokka,-0.002694894425465627,0.15,1.35,500
13425,9.90323752128092,9.912165588881892,Opel,Mokka,-0.002694894425465627,0.15,1.35,500
2143,9.648272670221848,9.69700080964909,Opel,Mokka,-0.002694894425465627,0.15,1.35,500
13450,9.740674462130217,9.752714433020815,Opel,Mokka,-0.002694894425465627,0.15,1.35,500
10026,10.271596874100524,10.389356027601345,Opel,Insignia,-0.03246048272667386,0.05,1.35,500
11686,10.03889218954233,10.057157632003587,Opel,Insignia,-0.03246048272667386,0.05,1.35,500
13234,8.60337088765729,8.650502588368944,Opel,Insignia,-0.03246048272667386,0.05,1.35,500
13738,9.90098442231801,9.944941069848948,Opel,Insignia,-0.03246048272667386,0.05,1.35,500
5029,9.695848187757884,9.755582534201285,Opel,Insignia,-0.03246048272667386,0.05,1.35,500
1750,9.949893925350283,9.838176023653054,Opel,Insignia,-0.03246048272667386,0.05,1.35,500
8843,10.03889218954233,9.991972826562971,Opel,Insignia,-0.03246048272667386,0.05,1.35,500
12461,8.691146498539675,8.790679218464124,Opel,Insignia,-0.03246048272667386,0.05,1.35,500
17292,9.301094735244646,9.432049709498514,Opel,Insignia,-0.03246048272667386,0.05,1.35,500
9604,10.1226230824528,10.081946683999002,Opel,Insignia,-0.03246048272667386,0.05,1.35,500
10818,8.915969311373605,8.912136709939526,Opel,Insignia,-0.03246048272667386,0.05,1.35,500
15711,9.74090979777877,9.799331536456949,Opel,Insignia,-0.03246048272667386,0.05,1.35,500
9795,9.543234787249512,9.776071232027665,Opel,Insignia,-0.03246048272667386,0.05,1.35,500
8455,8.656955133791396,8.631173181429515,Opel,Insignia,-0.03246048272667386,0.05,1.35,500
13504,10.106428396532818,10.18622535911532,Opel,Insignia,-0.03246048272667386,0.05,1.35,500
6138,8.516192691082654,8.398043418090902,Opel,Insignia,-0.03246048272667386,0.05,1.35,500
16262,8.507142855562735,8.113306703104644,Opel,Insignia,-0.03246048272667386,0.05,1.35,500
363,7.600902459542082,8.22236310896942,Opel,Insignia,-0.03246048272667386,0.05,1.35,500
7885,9.90098442231801,9.688946040970956,Opel,Insignia,-0.03246048272667386,0.05,1.35,500
16957,8.202482446576537,8.616797181830364,Opel,Insignia,-0.03246048272667386,0.05,1.35,500
2244,10.12643108384767,10.010590240081985,Opel,Insignia,-0.03246048272667386,0.05,1.35,500
2648,9.838949031398556,9.881298193950443,Opel,Insignia,-0.03246048272667386,0.05,1.35,500
1813,9.90098442231801,9.781587819668347,Opel,Insignia,-0.03246048272667386,0.05,1.35,500
12420,9.645364282325891,9.709237151091846,Opel,Insignia,-0.03246048272667386,0.05,1.35,500
15695,8.690978417187905,8.794261852772001,Opel,Insignia,-0.03246048272667386,0.05,1.35,500
6332,9.846282078765348,9.880963465083555,Opel,Insignia,-0.03246048272667386,0.05,1.35,500
16444,10.122422259076282,10.02639560624256,Opel,Insignia,-0.03246048272667386,0.05,1.35,500
9089,9.581559041355757,9.704239729708076,Opel,Insignia,-0.03246048272667386,0.05,1.35,500
14708,9.301094735244646,9.34623288929029,Opel,Insignia,-0.03246048272667386,0.05,1.35,500
16266,9.795345393916424,9.809573250665851,Opel,Insignia,-0.03246048272667386,0.05,1.35,500
15705,8.852950887099581,8.879904546063555,Opel,Astra,-0.021258545404872712,0.23,1.35,500
6324,9.67721410821299,9.677149989587544,Opel,Astra,-0.021258545404872712,0.23,1.35,500
2382,9.543234787249512,9.624319458511582,Opel,Astra,-0.021258545404872712,0.23,1.35,500
5329,9.769956159911606,9.782909382494745,Opel,Astra,-0.021258545404872712,0.23,1.35,500
