,id,make,model,true,predict,score,max_depth,min_samples_leaf,min_samples_split,n_estimators,alpha_value,trainScore
2726,3101761,Nissan,Qashqai,10.220121446937677,10.13772782177262,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
985,3091054,Skoda,Octavia,9.90323752128092,9.82946536379056,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
13867,3163703,Volkswagen,Polo,9.392578591964389,9.45246283279988,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
12631,3161229,Peugeot,5008,10.757796492054402,10.466413089929073,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
15533,3166672,Renault,Clio,9.792555991828847,9.876162218183723,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
925,3090679,Skoda,Superb,10.04107321548869,10.208427923314353,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
1347,3093470,Nissan,Qashqai,9.925738161470948,10.09731068509295,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
9298,3154262,Mazda,Demio,9.099408811268901,9.509632779662262,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
11345,3158790,Audi,A1,9.468851067127684,9.706083906836447,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
15618,3166818,Skoda,Kodiaq,10.544024782823776,10.6644481355332,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
2006,3097851,Dacia,Sandero,8.954802752850968,9.288799985584767,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
14465,3164845,Bmw,X1,10.517320926376348,10.566749781564619,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
3266,3104483,Bmw,5 Series,10.48849257447637,10.445106060232431,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
2193,3098855,Peugeot,Partner,9.185022563991893,9.438148630606644,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
5776,3136612,Ford,Fiesta,9.301094735244646,9.333147418151219,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
1431,3093985,Toyota,Yaris,9.383452989684827,9.438148167710633,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
4555,3132977,Volkswagen,Caddy,9.047821442478408,9.215545540469885,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
