,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_epsilon,param_max_iter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,make,model
0,0.007989311218261718,0.002526396821394202,0.0007989406585693359,0.0015978813171386719,1,1.35,600,"{'alpha': 1, 'epsilon': 1.35, 'max_iter': 600}",-0.023381180995663376,-0.012818053894686921,-0.011755964882142308,-0.7786786509052273,-0.004038434523855168,-0.16613445704031501,0.3063340157701381,1,-0.004665058114682391,-0.007307308227798005,-0.007355434200108349,-0.00606291678930336,-0.008947527729663902,-0.0068676490123112015,0.0014322102294815463,Audi,Q5
0,0.007989263534545899,2.431401974483864e-07,0.0,0.0,1,1.35,600,"{'alpha': 1, 'epsilon': 1.35, 'max_iter': 600}",-0.013995148937483298,-0.014054514529961386,-0.005138426883280984,-0.19709762735756933,-0.012351446285039772,-0.04852743279866696,0.07435761059697905,1,-0.008357715393742346,-0.00880121798556057,-0.010477230092621897,-0.007153113220255656,-0.008108478582708203,-0.008579551054977734,0.0010914364103401144,Bmw,1 Series
0,0.008811140060424804,0.0016437053991662299,0.0,0.0,1,1.35,600,"{'alpha': 1, 'epsilon': 1.35, 'max_iter': 600}",-0.5509906290925521,-0.02788343180148668,-0.01632506154833398,-0.02222526689880383,-5.768417515020079,-1.2771683808722512,2.2549489524745923,1,-0.0155977412951339,-0.14624507488985972,-0.11356309150635356,-0.11994977446404605,-0.10935325616401262,-0.10094178766388115,0.044558608055634656,Bmw,3 Series
0,0.008788251876831054,0.001597809794233129,0.0007989406585693359,0.0015978813171386719,1,1.35,600,"{'alpha': 1, 'epsilon': 1.35, 'max_iter': 600}",-6.121650483949759,-0.02173613592358178,-0.16198392313386775,-0.12524674569563105,-0.0497930577141889,-1.2960820692834056,2.4133105205470406,1,-0.02083309574864298,-0.04017828144768379,-0.019309800810294937,-0.023916729389717447,-0.03901056545790248,-0.028649694570848327,0.009066308542361356,Bmw,7 Series
0,0.00879368782043457,0.002988146639872929,0.0007989883422851562,0.0015979766845703124,1,1.35,600,"{'alpha': 1, 'epsilon': 1.35, 'max_iter': 600}",-0.05672167502374653,-0.022134384935181165,-0.2753984850426273,-6.277782086376227,-0.14728126128094776,-1.3558635785317459,2.462517455003474,1,-0.017572770526079955,-0.02192768827022841,-0.024709440243442366,-0.012718474974017043,-0.026188524184423367,-0.02062337963963823,0.004922635062696167,Bmw,X5
0,0.010386133193969726,0.0019571137548397284,0.0,0.0,1,1.35,600,"{'alpha': 1, 'epsilon': 1.35, 'max_iter': 600}",-0.08138208170236486,-0.8532136118966959,-1.64968686653924,-0.02749025382361059,-0.9357025928416693,-0.7094950813607162,0.602568165822048,1,-0.008908272192751756,-0.007065902811486612,-0.016912218992886502,-0.021630183265849954,-0.010678020885989046,-0.013038919629792773,0.005424486701242368,Citroen,Grand C4 Picasso
0,0.015179729461669922,0.0029846739536926892,0.0,0.0,1,1.35,600,"{'alpha': 1, 'epsilon': 1.35, 'max_iter': 600}",-0.07455440360540323,-0.11138603679753031,-0.8498719877356347,-3.589594819172047,-0.03183103981423804,-0.9314476574249706,1.3629730805953775,1,-0.11795844551070044,-0.10988926588503985,-0.016959359459850318,-0.019287902168274945,-0.13203885823561068,-0.07922676625189524,0.050397115587891894,Fiat,500
0,0.009619903564453126,0.004168550575248995,0.0007988929748535157,0.0015977859497070313,1,1.35,600,"{'alpha': 1, 'epsilon': 1.35, 'max_iter': 600}",-0.00973544513161778,-0.011548128448669351,-0.01961295240072957,-0.011821038721721142,-0.014204579184330667,-0.013384428777413701,0.0034234024661742883,1,-0.012969617493902774,-0.012523114787237945,-0.010571018704234804,-0.012350214893161668,-0.012024104889275139,-0.012087614153562467,0.0008173915862440649,Ford,Focus
0,0.009588003158569336,0.001957970435125848,0.0,0.0,1,1.35,600,"{'alpha': 1, 'epsilon': 1.35, 'max_iter': 600}",-0.49590246199864374,-0.011726206542053587,-2.4753693502668486,-0.016688247651997515,-0.028108149260543246,-0.6055588831440173,0.9530027215982232,1,-0.01019840920148402,-0.08651628700560271,-0.0616068003986603,-0.07608055065529393,-0.07015975621178588,-0.06091236069456536,0.026621556962818378,Ford,Mondeo
0,0.012594223022460938,0.0047064963600491755,0.0007987022399902344,0.0015974044799804688,1,1.35,600,"{'alpha': 1, 'epsilon': 1.35, 'max_iter': 600}",-0.20899567066531924,-0.06498702021239447,-0.1569673680879165,-0.01114762129130314,-0.021970789429420504,-0.09281369393727076,0.0775581510024312,1,-0.009644504902751917,-0.004313797744301881,-0.008185605759188488,-0.007592801059235281,-0.006670826788621272,-0.007281507250819767,0.0017707787096651482,Ford,Ranger
0,0.011189460754394531,0.002996120979461932,0.0007987499237060546,0.001597499847412109,1,1.35,600,"{'alpha': 1, 'epsilon': 1.35, 'max_iter': 600}",-1.3063882928448518,-0.10472823406496536,-0.5643157294376958,-0.08147837994596223,-0.027346470206970692,-0.41685142130008923,0.4846919920558061,1,-0.01341861441041051,-0.008658817135380265,-0.0121324378876997,-0.006520999716106407,-0.01995046619693313,-0.012136267069306003,0.004611507841540496,Ford,S-Max
0,0.008796453475952148,0.00298595088847676,0.002395820617675781,0.001956180673722158,1,1.35,600,"{'alpha': 1, 'epsilon': 1.35, 'max_iter': 600}",-0.05321385701450998,-0.21642141488928915,-0.06995102865241452,-0.054813472741154445,-0.015563834732557597,-0.08199272160598514,0.06956408207447028,1,-0.02122847455073939,-0.026614432405625655,-0.025139147081644005,-0.027846651047251092,-0.03198944246921451,-0.026563629510894932,0.0035094501021001078,Ford,Transit
0,0.005591821670532226,0.0019571343809834663,0.0007996559143066406,0.0015993118286132812,1,1.35,600,"{'alpha': 1, 'epsilon': 1.35, 'max_iter': 600}",-0.02535840496332246,-0.0785171001457043,-0.05150900701373834,-0.03909924131249871,-0.014474813998023736,-0.041791713486657514,0.02221123973060394,1,-0.02263657078423168,-0.010959896565945329,-0.015014476403431854,-0.02181762614126053,-0.024700570613274977,-0.019025828101628874,0.005180434259258713,Ford,Transit Connect
0,0.006391477584838867,0.00195783452323217,0.0007989406585693359,0.0015978813171386719,1,1.35,600,"{'alpha': 1, 'epsilon': 1.35, 'max_iter': 600}",-0.03842382439552925,-0.05975502451468235,-0.7454551138420542,-0.03763027283581127,-0.11928622756638395,-0.20011009263089216,0.2742901294783296,1,-0.028712617127793067,-0.022702364641747425,-0.025463583790702765,-0.025391623919860388,-0.01936667125542327,-0.02432737214710538,0.003127400997784274,Ford,Transit Custom
0,0.007990026473999023,1.1543005406294064e-06,0.0007988452911376953,0.0015976905822753906,1,1.35,600,"{'alpha': 1, 'epsilon': 1.35, 'max_iter': 600}",-0.14536515564582153,-0.9735075229771102,-0.017358958277461027,-0.11684132838773098,-0.21092781477199612,-0.29280015601202397,0.3460150405580696,1,-0.09936891068818532,-0.047633270034416544,-0.23268858417545943,-0.21592749123558846,-0.2221849487709865,-0.16356064098092726,0.07552152351788224,Honda,Civic
0,0.012782144546508788,0.002989477121292416,0.0007991790771484375,0.001598358154296875,1,1.35,600,"{'alpha': 1, 'epsilon': 1.35, 'max_iter': 600}",-0.011207511518898665,-0.21137510747184454,-0.06589651396287219,-0.0691058979595755,-0.011850619535752527,-0.07388713008978867,0.07316681936136452,1,-0.008286173451625842,-0.0032887193442595153,-0.007947526463556993,-0.006339158256021563,-0.008806723699219447,-0.006933660242936672,0.002000230495295531,Hyundai,Santa Fe
0,0.008788824081420898,0.0015975241331579924,0.0,0.0,1,1.35,600,"{'alpha': 1, 'epsilon': 1.35, 'max_iter': 600}",-0.015068653448071526,-0.018855106564506847,-0.03789790611055048,-0.017006000836419604,-0.015605000187490182,-0.020886533429407727,0.008605978731929642,1,-0.01288824805956009,-0.013462365795281452,-0.013375777181981739,-0.014354621775760606,-0.013128961296283763,-0.013441994821773528,0.0004984602640667372,Hyundai,i30
