,id,make,model,true,predict,score,max_depth,min_samples_leaf,min_samples_split,n_estimators,alpha_value,trainScore
2726,3101761,Nissan,Qashqai,10.220121446937677,10.163932753212068,-0.030352604144405538,8,1,2,100,1,0.0045263962043699795
985,3091054,Skoda,Octavia,9.90323752128092,10.026571654400065,-0.030352604144405538,8,1,2,100,1,0.0045263962043699795
13867,3163703,Volkswagen,Polo,9.392578591964389,9.41548888066447,-0.030352604144405538,8,1,2,100,1,0.0045263962043699795
12631,3161229,Peugeot,5008,10.757796492054402,10.522078411091343,-0.030352604144405538,8,1,2,100,1,0.0045263962043699795
15533,3166672,Renault,Clio,9.792555991828847,9.839369219189729,-0.030352604144405538,8,1,2,100,1,0.0045263962043699795
925,3090679,Skoda,Superb,10.04107321548869,10.037655388494029,-0.030352604144405538,8,1,2,100,1,0.0045263962043699795
1347,3093470,Nissan,Qashqai,9.925738161470948,9.859514671054315,-0.030352604144405538,8,1,2,100,1,0.0045263962043699795
9298,3154262,Mazda,Demio,9.099408811268901,8.977378268423493,-0.030352604144405538,8,1,2,100,1,0.0045263962043699795
11345,3158790,Audi,A1,9.468851067127684,9.35473682656506,-0.030352604144405538,8,1,2,100,1,0.0045263962043699795
15618,3166818,Skoda,Kodiaq,10.544024782823776,10.600946531951154,-0.030352604144405538,8,1,2,100,1,0.0045263962043699795
2006,3097851,Dacia,Sandero,8.954802752850968,9.160954157005861,-0.030352604144405538,8,1,2,100,1,0.0045263962043699795
14465,3164845,Bmw,X1,10.517320926376348,10.44143687851958,-0.030352604144405538,8,1,2,100,1,0.0045263962043699795
3266,3104483,Bmw,5 Series,10.48849257447637,10.460679245615346,-0.030352604144405538,8,1,2,100,1,0.0045263962043699795
2193,3098855,Peugeot,Partner,9.185022563991893,9.398541394912076,-0.030352604144405538,8,1,2,100,1,0.0045263962043699795
5776,3136612,Ford,Fiesta,9.301094735244646,9.409489330175713,-0.030352604144405538,8,1,2,100,1,0.0045263962043699795
1431,3093985,Toyota,Yaris,9.383452989684827,9.480902468993353,-0.030352604144405538,8,1,2,100,1,0.0045263962043699795
4555,3132977,Volkswagen,Caddy,9.047821442478408,8.986342085892861,-0.030352604144405538,8,1,2,100,1,0.0045263962043699795
15799,3167103,Volkswagen,Touran,9.708080756193517,9.45580649322401,-0.030352604144405538,8,1,2,100,1,0.0045263962043699795
13838,3163654,Bmw,5 Series,10.184522582266116,10.162899044087931,-0.030352604144405538,8,1,2,100,1,0.0045263962043699795
566,3088210,Nissan,Juke,9.21024036697585,9.252243202295702,-0.030352604144405538,8,1,2,100,1,0.0045263962043699795
12298,3160617,Volkswagen,Tiguan,9.648272670221848,9.765780859574445,-0.030352604144405538,8,1,2,100,1,0.0045263962043699795
6520,3138750,Bmw,1 Series,9.903487552536127,9.592854323717567,-0.030352604144405538,8,1,2,100,1,0.0045263962043699795
2438,3100208,Kia,Sportage,9.74090979777877,9.82419509754666,-0.030352604144405538,8,1,2,100,1,0.0045263962043699795
6481,3138649,Audi,A3,9.947504437952903,9.973119293760485,-0.030352604144405538,8,1,2,100,1,0.0045263962043699795
10188,3156170,Audi,A3,9.811920359010637,10.003003213288634,-0.030352604144405538,8,1,2,100,1,0.0045263962043699795
3980,3108444,Mercedes-benz,C Class,10.543893021838013,10.569287185365615,-0.030352604144405538,8,1,2,100,1,0.0045263962043699795
14886,3165522,Kia,Ceed,9.708080756193517,9.612185191575051,-0.030352604144405538,8,1,2,100,1,0.0045263962043699795
2605,3101038,Mazda,CX-5,10.084766899751639,10.316402679790494,-0.030352604144405538,8,1,2,100,1,0.0045263962043699795
1383,3093634,Bmw,3 Series,9.82822506803558,9.862129344251011,-0.030352604144405538,8,1,2,100,1,0.0045263962043699795
