,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,15.290335035324096,0.039417013324292635,0.010445499420166015,0.005921591859012721,6,1,6,100,"{'max_depth': 6, 'min_samples_leaf': 1, 'min_samples_split': 6, 'n_estimators': 100}",-0.029005445934689917,-0.028852673728308874,-0.028953677822510203,-0.02700658945278489,-0.02928241713882901,-0.028620160815424577,0.0008192602092156865,10,-0.010317157442409517,-0.01035503170492255,-0.010466065031068315,-0.010273009681532547,-0.010267581985492874,-0.01033576916908516,7.250199802872123e-05
1,31.253713417053223,0.02994771915158768,0.014699363708496093,0.001845861772037481,6,1,6,200,"{'max_depth': 6, 'min_samples_leaf': 1, 'min_samples_split': 6, 'n_estimators': 200}",-0.028187398997720717,-0.02828532264664319,-0.02799382572022482,-0.026023128451475322,-0.028266848344223848,-0.027751304832057577,0.0008702353985166048,9,-0.006755798089336198,-0.006780254356512012,-0.006782944286998792,-0.006668310889398261,-0.0066948264822815,-0.006736426820905353,4.654103967129462e-05
2,46.98550744056702,0.1101099783065236,0.013281488418579101,0.003936896689371482,6,1,6,300,"{'max_depth': 6, 'min_samples_leaf': 1, 'min_samples_split': 6, 'n_estimators': 300}",-0.027705772827272834,-0.02773625434673557,-0.027691728015651035,-0.02584993220483727,-0.027991650255506095,-0.02739506753000056,0.0007802958145283455,5,-0.004525525393481168,-0.004611952038895541,-0.00461417713946452,-0.00459743131789515,-0.004624756050948159,-0.004594768388136908,3.570131904052078e-05
3,62.81282525062561,0.11812951305832128,0.02405691146850586,0.007027236835748412,6,1,6,400,"{'max_depth': 6, 'min_samples_leaf': 1, 'min_samples_split': 6, 'n_estimators': 400}",-0.027864300941117505,-0.02783678188907006,-0.027803390340423288,-0.025862461216966247,-0.027768349219815833,-0.027427056721478587,0.0007829589868537208,7,-0.0032473904157295464,-0.003143043106120339,-0.0032486308401162975,-0.0032523981099528954,-0.0032551755255035013,-0.003229327599484516,4.323021618603693e-05
4,78.79267711639405,0.1419122683663359,0.02829113006591797,0.006337424856005819,6,1,6,500,"{'max_depth': 6, 'min_samples_leaf': 1, 'min_samples_split': 6, 'n_estimators': 500}",-0.027315489425476697,-0.02800225893266718,-0.027801170534293332,-0.025901708885771185,-0.027757703003469393,-0.027355666156335556,0.0007607622374916624,2,-0.002360918869682023,-0.002276291821563732,-0.002350801911123326,-0.002329900878448137,-0.00231756572527839,-0.0023270958412191216,2.9616599269836566e-05
5,94.68645057678222,0.06532904096792337,0.0314979076385498,0.0002098299903979575,6,1,6,600,"{'max_depth': 6, 'min_samples_leaf': 1, 'min_samples_split': 6, 'n_estimators': 600}",-0.027716694331154725,-0.028085846035592242,-0.027802984703062618,-0.02576347467838333,-0.027610519512825123,-0.027395903852203606,0.0008313274272228028,6,-0.0017122071791476352,-0.0016949572807465425,-0.0016763922537842745,-0.0016895918512999663,-0.001657244925448872,-0.001686078698085458,1.8434113191868693e-05
6,110.7059874534607,0.09505929870173986,0.033034467697143556,0.003391153351270963,6,1,6,700,"{'max_depth': 6, 'min_samples_leaf': 1, 'min_samples_split': 6, 'n_estimators': 700}",-0.027110883212889014,-0.027863767239428076,-0.027599773853871964,-0.02567398062521484,-0.02760724510890474,-0.027171130008061727,0.0007872438266377878,1,-0.001255221888202248,-0.0012385179730726751,-0.0012159683758827787,-0.0012685354363369445,-0.0011989558437773661,-0.0012354399034544025,2.5323280697446784e-05
7,126.51541194915771,0.23536041108906045,0.03817486763000488,0.006591969345061179,6,1,6,800,"{'max_depth': 6, 'min_samples_leaf': 1, 'min_samples_split': 6, 'n_estimators': 800}",-0.02777281839307885,-0.027851777051037602,-0.027706138732461652,-0.025790143613033847,-0.027827478184443543,-0.0273896711948111,0.0008013312355478308,4,-0.0009203177421971735,-0.0009320226759494931,-0.0009046736114823042,-0.0009529155308752105,-0.0008883312523843814,-0.0009196521625777125,2.220486737660329e-05
8,142.56187577247618,0.18911315777527385,0.03988771438598633,0.008641246473166216,6,1,6,900,"{'max_depth': 6, 'min_samples_leaf': 1, 'min_samples_split': 6, 'n_estimators': 900}",-0.027450330220067567,-0.028188464776266145,-0.02778348943081559,-0.025632242598291503,-0.02776321970474696,-0.027363549346037554,0.0008968305873855924,3,-0.0006816810563124601,-0.0007184462868503887,-0.0006846460063825318,-0.0006924732445737089,-0.0006658704918365891,-0.0006886234171911357,1.7239121260018667e-05
9,158.90543146133422,0.5037541757444393,0.04668512344360352,0.0008038590706184127,6,1,6,1000,"{'max_depth': 6, 'min_samples_leaf': 1, 'min_samples_split': 6, 'n_estimators': 1000}",-0.02774313533312795,-0.028095005660029253,-0.02779141913610409,-0.025892902435968295,-0.027760613733641616,-0.02745661525977424,0.0007923815442861756,8,-0.0005259581316292499,-0.0005467654928489207,-0.0005260645095233494,-0.0005259153744413388,-0.0004900536649236682,-0.0005229514346733054,1.8313323138344545e-05
