,id,make,model,true,predict,score,max_depth,max_leaf_nodes,min_samples_leaf,min_samples_split,n_estimators,alpha_value,trainScore
2726,3101761,Nissan,Qashqai,10.220121446937677,10.146659300100803,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
985,3091054,Skoda,Octavia,9.90323752128092,9.926175691174272,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
13867,3163703,Volkswagen,Polo,9.392578591964389,9.356226432121712,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
12631,3161229,Peugeot,5008,10.757796492054402,10.623350823137848,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
15533,3166672,Renault,Clio,9.792555991828847,9.844750108780913,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
925,3090679,Skoda,Superb,10.04107321548869,10.070179327697337,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
1347,3093470,Nissan,Qashqai,9.925738161470948,9.795319344547371,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
9298,3154262,Mazda,Demio,9.099408811268901,8.949291228050678,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
11345,3158790,Audi,A1,9.468851067127684,9.311515741381827,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
15618,3166818,Skoda,Kodiaq,10.544024782823776,10.652053207424878,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
2006,3097851,Dacia,Sandero,8.954802752850968,9.112194311579518,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
14465,3164845,Bmw,X1,10.517320926376348,10.352506127162602,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
3266,3104483,Bmw,5 Series,10.48849257447637,10.538073093017385,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
2193,3098855,Peugeot,Partner,9.185022563991893,9.460279729753964,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
5776,3136612,Ford,Fiesta,9.301094735244646,9.44701714279274,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
1431,3093985,Toyota,Yaris,9.383452989684827,9.493835478730249,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
4555,3132977,Volkswagen,Caddy,9.047821442478408,8.887193703649102,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
15799,3167103,Volkswagen,Touran,9.708080756193517,9.622996648108575,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
13838,3163654,Bmw,5 Series,10.184522582266116,10.19363443785131,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
566,3088210,Nissan,Juke,9.21024036697585,9.229580087225758,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
12298,3160617,Volkswagen,Tiguan,9.648272670221848,9.872246034454186,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
6520,3138750,Bmw,1 Series,9.903487552536127,9.564070683404214,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
2438,3100208,Kia,Sportage,9.74090979777877,9.811007834303139,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
6481,3138649,Audi,A3,9.947504437952903,10.010683377161424,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
10188,3156170,Audi,A3,9.811920359010637,9.703229640680446,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
3980,3108444,Mercedes-benz,C Class,10.543893021838013,10.506080348359443,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
14886,3165522,Kia,Ceed,9.708080756193517,9.536058244608073,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
2605,3101038,Mazda,CX-5,10.084766899751639,10.264769930914008,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
1383,3093634,Bmw,3 Series,9.82822506803558,9.887134497415547,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
3529,3105904,Skoda,Octavia,9.674074388208323,9.770263948077732,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
14717,3165248,Ford,Transit Connect,9.849559210510572,9.727419100827627,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
14105,3164221,Audi,A3,8.098642843759418,7.991569217767645,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
10601,3157023,Renault,Megane,10.274878680310541,10.02120319117508,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
15480,3166534,Hyundai,i10,9.543234787249512,9.399136226822748,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
17080,3169146,Skoda,Octavia,9.973479924356162,10.116796662607387,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
7932,3151040,Renault,Kadjar,9.67721410821299,9.76309614894345,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
17299,3169482,Toyota,Yaris,9.392661928770137,9.220604798865878,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
593,3088327,Volkswagen,T-Roc,10.659609532257463,10.797733781543853,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
7663,3150378,Bmw,5 Series,10.778852117797637,10.845287016236705,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
170,3085382,Volkswagen,Passat,10.032320424379096,9.947209887507913,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
628,3088493,Volkswagen,Passat,10.032320424379096,10.017286238927356,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
1476,3094293,Renault,Kadjar,10.161612072745584,10.09566218696059,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
17223,3169373,Renault,Clio,9.099408811268901,8.96346598650759,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
6958,3140141,Toyota,Prius,9.811920359010637,9.866420655260011,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
10736,3157347,Hyundai,Tucson,10.43396873396056,10.372540910646228,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
523,3087908,Renault,Megane,9.90323752128092,9.841547917818934,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
5902,3137081,Hyundai,Tucson,9.903337541285003,10.046318473812462,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
2514,3100548,Peugeot,3008,10.203592144986466,10.097443157666838,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
12432,3160888,Suzuki,Swift,9.734477009801846,9.714520188982203,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
8818,3153100,Peugeot,3008,10.475878531960273,10.348079589491835,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
11879,3159854,Ford,Mondeo,9.795345393916424,9.66544158112173,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
2621,3101133,Bmw,5 Series,9.047821442478408,9.022670296903888,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
3789,3107440,Mercedes-benz,C Class,10.303940118820748,10.366086857932094,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
15178,3166028,Hyundai,i30,9.769670404801788,9.707301304608963,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
13949,3163922,Dacia,Duster,10.286707051696972,10.30366930803025,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
14036,3164095,Volkswagen,Golf,10.124629101179664,9.97586070199982,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
16447,3168123,Volkswagen,Passat,10.404111313817522,10.193919883496969,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
15703,3166957,Volkswagen,Passat,9.388486557359657,9.306403810382431,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
4204,3109701,Kia,Sorento,10.981897133886719,10.796110095726078,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
15863,3167196,Nissan,Note,9.612466578818832,9.437836324099237,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
16267,3167839,Audi,A3,9.878169744551839,9.730269006274042,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
12209,3160495,Mazda,Mazda3,9.47231994707559,9.613669491920247,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
15329,3166430,Kia,Rio,9.993785190516908,9.979326757662891,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
15289,3166235,Nissan,Qashqai,9.996522418503318,10.011846769699229,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
12289,3160603,Nissan,Micra,9.79784922051313,9.854532600366966,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
4590,3133067,Kia,Ceed,8.400659375160286,8.65537216928502,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
15193,3166050,Volkswagen,Tiguan,10.75683848463641,10.798822526198187,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
3788,3107439,Hyundai,Tucson,10.12643108384767,10.108008117989073,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
236,3085795,Audi,A3,9.964112174352563,10.026110421895574,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
7234,3140938,Nissan,Micra,9.952039593118293,9.988690420024747,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
7851,3150856,Volkswagen,Passat,10.643041105910228,10.40418701327356,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
17133,3169229,Renault,Megane,8.354674261918463,8.400036899059193,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
10248,3156297,Toyota,Rav4,10.644233711895351,10.540439878634503,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
6959,3140145,Volkswagen,Tiguan,10.402746539930654,10.471109713300505,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
6203,3137845,Volkswagen,up!,9.205327830152639,9.221212404150227,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
3892,3107881,Kia,Sportage,10.201738576337144,9.931262598648756,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
10283,3156429,Hyundai,Tucson,9.996522418503318,9.876633959381232,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
2853,3102429,Honda,HR-V,9.996522418503318,10.044375312461366,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
841,3089986,Hyundai,Tucson,9.903437551286085,9.863388265763644,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
17097,3169168,Volkswagen,Passat,10.238172478583245,10.180756990416299,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
7863,3150886,Nissan,Qashqai,10.18282238350008,10.171382361955525,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
9847,3155499,Peugeot,2008,10.595383951194421,10.472680150970843,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
9965,3155721,Hyundai,Tucson,9.998797732340453,10.082640569343303,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
8871,3153217,Toyota,Rav4,9.61547209118311,9.53061869227057,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
11971,3160035,Skoda,Octavia,10.06475570013225,10.182701279882135,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
10790,3157450,Audi,A5,10.404111313817522,10.30602415349198,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
2978,3103040,Kia,Ceed,9.433083843269053,9.2807159853587,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
1038,3091331,Ford,Focus,10.04107321548869,10.010871717852773,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
3083,3103537,Mercedes-benz,C Class,10.232755327808727,10.391256746989077,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
16318,3167921,Volkswagen,Tiguan,10.461673747661957,10.356557872045908,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
15705,3166961,Opel,Astra,8.852950887099581,8.94139360752507,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
11699,3159526,Renault,Clio,9.209840246934501,9.172081132250659,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
4653,3133222,Ford,Mondeo,9.612466578818832,9.707386079765321,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
16482,3168166,Opel,Corsa,10.021270588192511,10.091608251742157,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
7024,3140310,Skoda,Octavia,9.877913301416697,9.942065974920851,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
