,id,make,model,true,predict,score,max_depth,max_leaf_nodes,min_impurity_decrease,min_samples_leaf,min_samples_split,n_estimators,alpha_value,trainScore
2726,3101761,Nissan,Qashqai,10.220121446937677,10.143683558038374,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
985,3091054,Skoda,Octavia,9.90323752128092,10.004131064071382,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
13867,3163703,Volkswagen,Polo,9.392578591964389,9.395614365923237,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
12631,3161229,Peugeot,5008,10.757796492054402,10.578069172085645,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
15533,3166672,Renault,Clio,9.792555991828847,9.848797033944264,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
925,3090679,Skoda,Superb,10.04107321548869,10.097666365089642,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
1347,3093470,Nissan,Qashqai,9.925738161470948,9.846927711616086,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
9298,3154262,Mazda,Demio,9.099408811268901,8.941610928121932,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
11345,3158790,Audi,A1,9.468851067127684,9.32216805926779,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
15618,3166818,Skoda,Kodiaq,10.544024782823776,10.57601464751834,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
2006,3097851,Dacia,Sandero,8.954802752850968,9.075227394046937,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
14465,3164845,Bmw,X1,10.517320926376348,10.344673504427716,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
3266,3104483,Bmw,5 Series,10.48849257447637,10.55527550180112,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
2193,3098855,Peugeot,Partner,9.185022563991893,9.432442055885186,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
5776,3136612,Ford,Fiesta,9.301094735244646,9.428588138574389,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
1431,3093985,Toyota,Yaris,9.383452989684827,9.50831303315944,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
4555,3132977,Volkswagen,Caddy,9.047821442478408,8.779480456374221,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
15799,3167103,Volkswagen,Touran,9.708080756193517,9.560654261514955,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
13838,3163654,Bmw,5 Series,10.184522582266116,10.15365473464456,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
566,3088210,Nissan,Juke,9.21024036697585,9.322520887478646,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
12298,3160617,Volkswagen,Tiguan,9.648272670221848,9.88919775571488,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
6520,3138750,Bmw,1 Series,9.903487552536127,9.59224702522392,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
2438,3100208,Kia,Sportage,9.74090979777877,9.80354482873924,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
6481,3138649,Audi,A3,9.947504437952903,9.942229288447518,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
10188,3156170,Audi,A3,9.811920359010637,9.75736141005637,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
3980,3108444,Mercedes-benz,C Class,10.543893021838013,10.507733740603669,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
14886,3165522,Kia,Ceed,9.708080756193517,9.59562802294331,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
2605,3101038,Mazda,CX-5,10.084766899751639,10.277209168718166,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
1383,3093634,Bmw,3 Series,9.82822506803558,9.864438689215472,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
3529,3105904,Skoda,Octavia,9.674074388208323,9.73056098565181,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
14717,3165248,Ford,Transit Connect,9.849559210510572,9.728902156886024,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
14105,3164221,Audi,A3,8.098642843759418,8.140301726584065,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
10601,3157023,Renault,Megane,10.274878680310541,10.029409059575057,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
15480,3166534,Hyundai,i10,9.543234787249512,9.35523030582447,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
