,id,make,model,true,predict,score,max_depth,max_leaf_nodes,min_impurity_decrease,min_samples_leaf,min_samples_split,min_weight_fraction_leaf,n_estimators,alpha_value,trainScore
2726,3101761,Nissan,Qashqai,10.220121446937677,10.14303451950764,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
985,3091054,Skoda,Octavia,9.90323752128092,9.96804685939453,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
13867,3163703,Volkswagen,Polo,9.392578591964389,9.340789676059476,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
12631,3161229,Peugeot,5008,10.757796492054402,10.614449130323859,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
15533,3166672,Renault,Clio,9.792555991828847,9.840652851932486,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
925,3090679,Skoda,Superb,10.04107321548869,10.082116080657732,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
1347,3093470,Nissan,Qashqai,9.925738161470948,9.820985980457092,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
9298,3154262,Mazda,Demio,9.099408811268901,8.947567817003481,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
11345,3158790,Audi,A1,9.468851067127684,9.399436863554921,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
15618,3166818,Skoda,Kodiaq,10.544024782823776,10.554507846412058,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
2006,3097851,Dacia,Sandero,8.954802752850968,9.135220511628306,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
14465,3164845,Bmw,X1,10.517320926376348,10.368311418763438,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
3266,3104483,Bmw,5 Series,10.48849257447637,10.494026389011191,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
2193,3098855,Peugeot,Partner,9.185022563991893,9.383587168060782,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
5776,3136612,Ford,Fiesta,9.301094735244646,9.393974933402806,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
1431,3093985,Toyota,Yaris,9.383452989684827,9.493728948578584,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
4555,3132977,Volkswagen,Caddy,9.047821442478408,9.033057213181012,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
15799,3167103,Volkswagen,Touran,9.708080756193517,9.559572057713218,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
13838,3163654,Bmw,5 Series,10.184522582266116,10.147556032774153,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
566,3088210,Nissan,Juke,9.21024036697585,9.293947435127622,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
12298,3160617,Volkswagen,Tiguan,9.648272670221848,9.89256594425173,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
6520,3138750,Bmw,1 Series,9.903487552536127,9.60116702962639,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
2438,3100208,Kia,Sportage,9.74090979777877,9.858930632632159,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
6481,3138649,Audi,A3,9.947504437952903,9.994282756948122,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
10188,3156170,Audi,A3,9.811920359010637,9.787753052054523,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
3980,3108444,Mercedes-benz,C Class,10.543893021838013,10.533518262256722,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
14886,3165522,Kia,Ceed,9.708080756193517,9.609555002265045,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
2605,3101038,Mazda,CX-5,10.084766899751639,10.166818648778527,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
1383,3093634,Bmw,3 Series,9.82822506803558,9.86695843800228,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
3529,3105904,Skoda,Octavia,9.674074388208323,9.746611348798387,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
14717,3165248,Ford,Transit Connect,9.849559210510572,9.694559480624296,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
14105,3164221,Audi,A3,8.098642843759418,8.02022238010647,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
10601,3157023,Renault,Megane,10.274878680310541,9.984419074352529,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
15480,3166534,Hyundai,i10,9.543234787249512,9.349923720337966,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
17080,3169146,Skoda,Octavia,9.973479924356162,10.153930198476477,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
7932,3151040,Renault,Kadjar,9.67721410821299,9.709333739025752,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
