,id,make,model,true,predict,score,max_depth,max_features,max_leaf_nodes,min_impurity_decrease,min_samples_leaf,min_samples_split,min_weight_fraction_leaf,n_estimators,alpha_value,trainScore
2726,3101761,Nissan,Qashqai,10.220121446937677,10.189764173817442,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
985,3091054,Skoda,Octavia,9.90323752128092,9.933817068322378,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
13867,3163703,Volkswagen,Polo,9.392578591964389,9.268253559520012,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
12631,3161229,Peugeot,5008,10.757796492054402,10.652562246828163,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
15533,3166672,Renault,Clio,9.792555991828847,9.84082205553117,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
925,3090679,Skoda,Superb,10.04107321548869,10.05667311384235,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
1347,3093470,Nissan,Qashqai,9.925738161470948,9.779006358778972,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
9298,3154262,Mazda,Demio,9.099408811268901,8.923200165209694,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
11345,3158790,Audi,A1,9.468851067127684,9.380832925332617,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
15618,3166818,Skoda,Kodiaq,10.544024782823776,10.60867149623512,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
2006,3097851,Dacia,Sandero,8.954802752850968,9.085630276760876,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
14465,3164845,Bmw,X1,10.517320926376348,10.389659301757844,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
3266,3104483,Bmw,5 Series,10.48849257447637,10.489531489135707,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
2193,3098855,Peugeot,Partner,9.185022563991893,9.464021459607242,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
5776,3136612,Ford,Fiesta,9.301094735244646,9.44222223011392,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
1431,3093985,Toyota,Yaris,9.383452989684827,9.459111310899786,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
4555,3132977,Volkswagen,Caddy,9.047821442478408,8.85416096135494,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
15799,3167103,Volkswagen,Touran,9.708080756193517,9.608959970338537,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
13838,3163654,Bmw,5 Series,10.184522582266116,10.144854172940217,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
566,3088210,Nissan,Juke,9.21024036697585,9.393225314969776,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
12298,3160617,Volkswagen,Tiguan,9.648272670221848,9.878372986083578,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
6520,3138750,Bmw,1 Series,9.903487552536127,9.690413522756595,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
2438,3100208,Kia,Sportage,9.74090979777877,9.807034084294443,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
6481,3138649,Audi,A3,9.947504437952903,9.962789346803769,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
10188,3156170,Audi,A3,9.811920359010637,9.782155659715672,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
3980,3108444,Mercedes-benz,C Class,10.543893021838013,10.53017053469424,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
14886,3165522,Kia,Ceed,9.708080756193517,9.604150972069638,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
2605,3101038,Mazda,CX-5,10.084766899751639,10.26189011038156,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
1383,3093634,Bmw,3 Series,9.82822506803558,9.87980773183786,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
3529,3105904,Skoda,Octavia,9.674074388208323,9.73868837386684,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
14717,3165248,Ford,Transit Connect,9.849559210510572,9.692716010676401,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
14105,3164221,Audi,A3,8.098642843759418,7.996185263428181,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
10601,3157023,Renault,Megane,10.274878680310541,10.01519731127818,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
15480,3166534,Hyundai,i10,9.543234787249512,9.363303462256438,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
17080,3169146,Skoda,Octavia,9.973479924356162,10.105549097095047,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
7932,3151040,Renault,Kadjar,9.67721410821299,9.724917861232946,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
17299,3169482,Toyota,Yaris,9.392661928770137,9.222915088780134,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
593,3088327,Volkswagen,T-Roc,10.659609532257463,10.812302791414682,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
7663,3150378,Bmw,5 Series,10.778852117797637,10.85186271352581,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
