,regessorFeature0,regessorFeature1,make,model
0,-0.0,0.0,Opel,Grandland X
1,-0.0,0.0,Mercedes-benz,GLC Class
2,-0.0,0.0,Audi,Q3
3,-0.0,0.0,Ford,Kuga
4,-0.0,0.0,Peugeot,208
5,-0.0,0.0,Audi,A6
6,-0.0,0.0,Audi,A3
7,-0.0,0.0,Bmw,5 Series
8,0.0,0.0,Volkswagen,up!
9,-0.0,0.0,Volkswagen,Tiguan
10,-0.0,0.0,Kia,Sportage
11,-0.0,0.0,Opel,Mokka
12,-0.0,0.0,Skoda,Octavia
13,-0.0,0.0,Volkswagen,Golf
14,-0.0,0.0,Hyundai,i20
15,0.0,0.0,Land,ROVER Discovery Sport
16,0.0,0.0,Land,ROVER Range Rover Evoque
17,-0.0,0.0,Ford,Focus
18,-0.0,0.0,Mazda,CX-5
19,-0.0,0.0,Nissan,Qashqai
20,-0.0,0.0,Mercedes-benz,A Class
21,-0.0,0.0,Renault,Kadjar
22,-0.0,0.0,Mercedes-benz,E Class
23,-0.0,0.0,Volkswagen,Polo
24,-0.0,0.0,Volkswagen,Passat
25,-0.0,0.0,Seat,Leon
26,-0.0,0.0,Mazda,Mazda2
27,-0.0,0.0,Dacia,Duster
28,-0.0,0.0,Volvo,XC90
29,-0.0,0.0,Renault,Megane
30,-0.0,0.0,Skoda,Fabia
31,-0.0,0.0,Fiat,500
32,-0.0,0.0,Audi,A4
33,-0.0,0.0,Ford,Mondeo
34,-0.0,0.0,Toyota,Avensis
35,-0.0,0.0,Land,ROVER Range Rover Sport
36,-0.0,0.0,Hyundai,Tucson
37,-0.0,0.0,Toyota,Prius
38,0.0,0.0,Audi,A1
39,-0.0,0.0,Ford,Fiesta
40,-0.0,0.0,Volkswagen,Touran
41,-0.0,0.0,Citroen,Grand C4 Picasso
42,0.0,0.0,Bmw,1 Series
43,-0.0,0.0,Toyota,Yaris
44,-0.0,0.0,Mazda,Mazda3
45,-0.0,0.0,Mercedes-benz,C Class
46,-0.0,0.0,Nissan,X-Trail
47,-0.0,0.0,Hyundai,i30
48,-0.0,0.0,Mitsubishi,Outlander
49,-0.0,0.0,Seat,Arona
50,-0.0,0.0,Toyota,Corolla
51,-0.0,0.0,Mercedes-benz,CLA Class
52,-0.0,0.0,Peugeot,3008
53,0.0,0.0,Toyota,Aqua
54,0.0,0.0,Honda,HR-V
55,-0.0,0.0,Mini,Hatch
56,-0.0,0.0,Land,ROVER Discovery
57,-0.0,0.0,Hyundai,i40
58,-0.0,0.0,Hyundai,Santa Fe
59,-0.0,0.0,Audi,Q5
60,-0.0,0.0,Peugeot,2008
61,-0.0,0.0,Audi,A5
62,-0.0,0.0,Honda,Fit
63,0.0,0.0,Honda,Jazz
64,-0.0,0.0,Skoda,Karoq
65,-0.0,0.0,Renault,Captur
66,-0.0,0.0,Nissan,Micra
67,-0.0,0.0,Bmw,3 Series
68,-0.0,0.0,Volvo,XC60
69,-0.0,0.0,Skoda,Kodiaq
70,-0.0,0.0,Honda,Civic
71,-0.0,0.0,Seat,Ibiza
72,0.0,0.0,Opel,Insignia
73,0.0,0.0,Toyota,Vitz
74,0.0,0.0,Kia,Stonic
75,-0.0,0.0,Kia,Ceed
76,-0.0,0.0,Hyundai,ix35
77,-0.0,0.0,Toyota,Landcruiser
78,-0.0,0.0,Suzuki,Swift
79,-0.0,0.0,Citroen,Berlingo
80,-0.0,0.0,Seat,Ateca
81,-0.0,0.0,Renault,Clio
82,-0.0,0.0,Skoda,Superb
83,-0.0,0.0,Bmw,X1
84,-0.0,0.0,Volkswagen,Touareg
85,-0.0,0.0,Peugeot,5008
86,-0.0,0.0,Volkswagen,T-Roc
87,-0.0,0.0,Kia,Rio
88,-0.0,0.0,Opel,Astra
89,-0.0,0.0,Suzuki,Vitara
90,-0.0,0.0,Peugeot,308
91,-0.0,0.0,Nissan,Juke
92,-0.0,0.0,Mercedes-benz,GLE Class
93,-0.0,0.0,Renault,Trafic
94,-0.0,0.0,Bmw,X5
95,-0.0,0.0,Mazda,Mazda6
96,-0.0,0.0,Bmw,7 Series
97,-0.0,0.0,Volkswagen,Transporter
98,-0.0,0.0,Ford,Transit Connect
99,-0.0,0.0,Nissan,Note
100,0.0,0.0,Ford,S-Max
101,-0.0,0.0,Ford,Transit Custom
102,0.0,0.0,Kia,Sorento
103,-0.0,0.0,Toyota,Auris
104,-0.0,0.0,Volkswagen,Caddy
105,0.0,0.0,Mazda,Demio
106,-0.0,0.0,Opel,Corsa
107,-0.0,0.0,Ford,Ranger
108,-0.0,0.0,Hyundai,i10
109,-0.0,0.0,Dacia,Sandero
110,0.0,0.0,Nissan,Serena
111,-0.0,0.0,Opel,Crossland X
112,-0.0,0.0,Bmw,X3
113,0.0,0.0,Bmw,4 Series
114,-0.0,0.0,Hyundai,Kona
115,-0.0,0.0,Toyota,Hilux
116,-0.0,0.0,Toyota,Rav4
117,-0.0,0.0,Toyota,C-HR
118,-0.0,0.0,Peugeot,Partner
119,-0.0,0.0,Bmw,2 Series
120,-0.0,0.0,Ford,Transit
