,id,make,model,true,predict,score,ccp_alpha,max_depth,max_features,max_leaf_nodes,min_impurity_decrease,min_samples_leaf,min_samples_split,min_weight_fraction_leaf,n_estimators,alpha_value,trainScore
2726,3101761,Nissan,Qashqai,10.220121446937677,10.121986055240148,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
985,3091054,Skoda,Octavia,9.90323752128092,9.906238850320467,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
13867,3163703,Volkswagen,Polo,9.392578591964389,9.422119131830362,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
12631,3161229,Peugeot,5008,10.757796492054402,10.622779128840095,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
15533,3166672,Renault,Clio,9.792555991828847,9.830065395136668,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
925,3090679,Skoda,Superb,10.04107321548869,10.122526763247917,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
1347,3093470,Nissan,Qashqai,9.925738161470948,9.71732780619228,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
9298,3154262,Mazda,Demio,9.099408811268901,8.938056890702587,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
11345,3158790,Audi,A1,9.468851067127684,9.442140218844667,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
15618,3166818,Skoda,Kodiaq,10.544024782823776,10.522542090126196,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
2006,3097851,Dacia,Sandero,8.954802752850968,9.142339426142238,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
14465,3164845,Bmw,X1,10.517320926376348,10.344400450222741,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
3266,3104483,Bmw,5 Series,10.48849257447637,10.510343498848675,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
2193,3098855,Peugeot,Partner,9.185022563991893,9.447043193011405,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
5776,3136612,Ford,Fiesta,9.301094735244646,9.450567323099243,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
1431,3093985,Toyota,Yaris,9.383452989684827,9.44675458549972,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
4555,3132977,Volkswagen,Caddy,9.047821442478408,8.994011031529704,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
15799,3167103,Volkswagen,Touran,9.708080756193517,9.577938199705178,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
13838,3163654,Bmw,5 Series,10.184522582266116,10.23296755027599,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
566,3088210,Nissan,Juke,9.21024036697585,9.282279639140054,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
12298,3160617,Volkswagen,Tiguan,9.648272670221848,9.810660858409012,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
6520,3138750,Bmw,1 Series,9.903487552536127,9.65303719521049,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
2438,3100208,Kia,Sportage,9.74090979777877,9.75586768862852,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
6481,3138649,Audi,A3,9.947504437952903,10.045412661405685,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
10188,3156170,Audi,A3,9.811920359010637,9.793570673361643,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
3980,3108444,Mercedes-benz,C Class,10.543893021838013,10.534867779202758,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
14886,3165522,Kia,Ceed,9.708080756193517,9.604285750711094,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
2605,3101038,Mazda,CX-5,10.084766899751639,10.264598740762011,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
1383,3093634,Bmw,3 Series,9.82822506803558,9.845791486588345,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
3529,3105904,Skoda,Octavia,9.674074388208323,9.771168476752363,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
14717,3165248,Ford,Transit Connect,9.849559210510572,9.726475800401742,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
14105,3164221,Audi,A3,8.098642843759418,8.313111272473906,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
10601,3157023,Renault,Megane,10.274878680310541,10.01482347329612,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
15480,3166534,Hyundai,i10,9.543234787249512,9.411155124933103,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
17080,3169146,Skoda,Octavia,9.973479924356162,10.10344627901865,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
7932,3151040,Renault,Kadjar,9.67721410821299,9.716748130883337,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
17299,3169482,Toyota,Yaris,9.392661928770137,9.28854403390246,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
593,3088327,Volkswagen,T-Roc,10.659609532257463,10.757615378521843,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
7663,3150378,Bmw,5 Series,10.778852117797637,10.804696239771722,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
170,3085382,Volkswagen,Passat,10.032320424379096,9.941344583359712,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
628,3088493,Volkswagen,Passat,10.032320424379096,9.992101774031964,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
