make,model,age,mileage,engine,mpg,owners,nct_remaining,tax,All
Audi,A1,8.0,88022.5,1.4,46.0,1.0,0.7083333333333334,200.0,
Audi,A3,6.0,95092.5,1.6,55.0,1.0,0.8333333333333334,190.0,
Audi,A4,5.0,122737.5,2.0,57.0,1.0,0.6666666666666667,190.0,
Audi,A5,6.0,124000.0,2.0,50.0,2.0,0.5,200.0,
Audi,A6,5.0,111036.0,2.0,53.0,1.0,0.75,200.0,
Audi,Q3,3.0,67000.0,2.0,47.0,1.5,0.75,270.0,
Audi,Q5,4.0,93341.0,2.0,43.0,1.0,0.75,395.0,
Bmw,1 Series,8.0,84865.0,1.6,52.0,1.0,0.6666666666666667,200.0,
Bmw,2 Series,5.0,63366.0,1.5,51.0,1.0,0.75,200.0,
Bmw,3 Series,5.0,126584.5,2.0,52.0,1.0,0.75,200.0,
Bmw,4 Series,5.0,91777.0,2.0,50.0,2.0,0.7916666666666667,270.0,
Bmw,5 Series,4.0,104543.0,2.0,52.0,1.5,0.5,200.0,
Bmw,7 Series,4.0,89799.0,3.0,43.0,2.0,0.6666666666666667,270.0,
Bmw,X1,5.0,89819.0,2.0,51.0,1.0,0.5416666666666666,270.0,
Bmw,X3,4.0,72605.5,2.0,44.0,2.0,0.8333333333333334,333.0,
Bmw,X5,4.5,110534.0,3.0,38.0,2.0,0.6666666666666667,400.0,
Citroen,Berlingo,4.0,118513.0,1.6,55.0,1.0,-1.0,333.0,
Citroen,Grand C4 Picasso,7.0,160845.0,1.6,59.0,2.0,0.5416666666666666,190.0,
Dacia,Duster,3.0,57585.0,1.5,53.0,1.0,0.8333333333333334,270.0,
Dacia,Sandero,3.0,40991.0,1.0,43.0,1.0,0.7083333333333334,200.0,
Fiat,500,5.5,66203.5,1.2,50.0,1.0,0.6666666666666667,190.0,
Ford,Fiesta,5.0,77119.0,1.2,46.0,1.0,0.5,200.0,
Ford,Focus,5.0,106214.0,1.5,57.0,2.0,0.75,190.0,
Ford,Kuga,4.0,76443.0,1.5,46.0,1.0,0.33333333333333337,200.0,
