,id,make,model,true,predict,score,alpha_value,trainScore
2726,3101761,Nissan,Qashqai,10.220121446937677,10.195066326352594,-0.030046983020572484,1,0.016506191234703777
985,3091054,Skoda,Octavia,9.90323752128092,9.956998703343874,-0.030046983020572484,1,0.016506191234703777
13867,3163703,Volkswagen,Polo,9.392578591964389,9.375432865429124,-0.030046983020572484,1,0.016506191234703777
12631,3161229,Peugeot,5008,10.757796492054402,10.603423565879169,-0.030046983020572484,1,0.016506191234703777
15533,3166672,Renault,Clio,9.792555991828847,9.865408279243717,-0.030046983020572484,1,0.016506191234703777
925,3090679,Skoda,Superb,10.04107321548869,10.042192228090087,-0.030046983020572484,1,0.016506191234703777
1347,3093470,Nissan,Qashqai,9.925738161470948,9.846289169114407,-0.030046983020572484,1,0.016506191234703777
9298,3154262,Mazda,Demio,9.099408811268901,9.024558788007731,-0.030046983020572484,1,0.016506191234703777
11345,3158790,Audi,A1,9.468851067127684,9.441100376250246,-0.030046983020572484,1,0.016506191234703777
15618,3166818,Skoda,Kodiaq,10.544024782823776,10.575938515966,-0.030046983020572484,1,0.016506191234703777
2006,3097851,Dacia,Sandero,8.954802752850968,9.14602104607211,-0.030046983020572484,1,0.016506191234703777
14465,3164845,Bmw,X1,10.517320926376348,10.455736194248264,-0.030046983020572484,1,0.016506191234703777
3266,3104483,Bmw,5 Series,10.48849257447637,10.536188534045293,-0.030046983020572484,1,0.016506191234703777
2193,3098855,Peugeot,Partner,9.185022563991893,9.462548696499477,-0.030046983020572484,1,0.016506191234703777
5776,3136612,Ford,Fiesta,9.301094735244646,9.455304576871315,-0.030046983020572484,1,0.016506191234703777
1431,3093985,Toyota,Yaris,9.383452989684827,9.487917453163258,-0.030046983020572484,1,0.016506191234703777
4555,3132977,Volkswagen,Caddy,9.047821442478408,8.85145143664439,-0.030046983020572484,1,0.016506191234703777
15799,3167103,Volkswagen,Touran,9.708080756193517,9.48091854097194,-0.030046983020572484,1,0.016506191234703777
13838,3163654,Bmw,5 Series,10.184522582266116,10.155249641058717,-0.030046983020572484,1,0.016506191234703777
566,3088210,Nissan,Juke,9.21024036697585,9.420036544919014,-0.030046983020572484,1,0.016506191234703777
12298,3160617,Volkswagen,Tiguan,9.648272670221848,9.805113643096403,-0.030046983020572484,1,0.016506191234703777
6520,3138750,Bmw,1 Series,9.903487552536127,9.602194778009517,-0.030046983020572484,1,0.016506191234703777
2438,3100208,Kia,Sportage,9.74090979777877,9.81917346633805,-0.030046983020572484,1,0.016506191234703777
6481,3138649,Audi,A3,9.947504437952903,9.922278271862272,-0.030046983020572484,1,0.016506191234703777
10188,3156170,Audi,A3,9.811920359010637,9.912828574717453,-0.030046983020572484,1,0.016506191234703777
3980,3108444,Mercedes-benz,C Class,10.543893021838013,10.5974271864015,-0.030046983020572484,1,0.016506191234703777
14886,3165522,Kia,Ceed,9.708080756193517,9.616675839681742,-0.030046983020572484,1,0.016506191234703777
2605,3101038,Mazda,CX-5,10.084766899751639,10.35395627170858,-0.030046983020572484,1,0.016506191234703777
1383,3093634,Bmw,3 Series,9.82822506803558,9.870989930865138,-0.030046983020572484,1,0.016506191234703777
3529,3105904,Skoda,Octavia,9.674074388208323,9.76492068278762,-0.030046983020572484,1,0.016506191234703777
14717,3165248,Ford,Transit Connect,9.849559210510572,9.722248486889855,-0.030046983020572484,1,0.016506191234703777
14105,3164221,Audi,A3,8.098642843759418,8.208037810606635,-0.030046983020572484,1,0.016506191234703777
10601,3157023,Renault,Megane,10.274878680310541,9.999130134621645,-0.030046983020572484,1,0.016506191234703777
15480,3166534,Hyundai,i10,9.543234787249512,9.380734794019576,-0.030046983020572484,1,0.016506191234703777
17080,3169146,Skoda,Octavia,9.973479924356162,10.126236344604246,-0.030046983020572484,1,0.016506191234703777
7932,3151040,Renault,Kadjar,9.67721410821299,9.693347452415901,-0.030046983020572484,1,0.016506191234703777
17299,3169482,Toyota,Yaris,9.392661928770137,9.186317418092026,-0.030046983020572484,1,0.016506191234703777
593,3088327,Volkswagen,T-Roc,10.659609532257463,10.818382547949021,-0.030046983020572484,1,0.016506191234703777
7663,3150378,Bmw,5 Series,10.778852117797637,10.788510932838275,-0.030046983020572484,1,0.016506191234703777
170,3085382,Volkswagen,Passat,10.032320424379096,9.937396914589977,-0.030046983020572484,1,0.016506191234703777
628,3088493,Volkswagen,Passat,10.032320424379096,10.034951146029977,-0.030046983020572484,1,0.016506191234703777
1476,3094293,Renault,Kadjar,10.161612072745584,10.070942065841546,-0.030046983020572484,1,0.016506191234703777
17223,3169373,Renault,Clio,9.099408811268901,8.966058367246216,-0.030046983020572484,1,0.016506191234703777
6958,3140141,Toyota,Prius,9.811920359010637,9.890057371517456,-0.030046983020572484,1,0.016506191234703777
10736,3157347,Hyundai,Tucson,10.43396873396056,10.296635805848346,-0.030046983020572484,1,0.016506191234703777
523,3087908,Renault,Megane,9.90323752128092,9.853917214966799,-0.030046983020572484,1,0.016506191234703777
5902,3137081,Hyundai,Tucson,9.903337541285003,10.054454158034448,-0.030046983020572484,1,0.016506191234703777
2514,3100548,Peugeot,3008,10.203592144986466,10.141704520625623,-0.030046983020572484,1,0.016506191234703777
12432,3160888,Suzuki,Swift,9.734477009801846,9.723330912911097,-0.030046983020572484,1,0.016506191234703777
8818,3153100,Peugeot,3008,10.475878531960273,10.34374108270736,-0.030046983020572484,1,0.016506191234703777
11879,3159854,Ford,Mondeo,9.795345393916424,9.688572335523785,-0.030046983020572484,1,0.016506191234703777
2621,3101133,Bmw,5 Series,9.047821442478408,8.833359625651438,-0.030046983020572484,1,0.016506191234703777
3789,3107440,Mercedes-benz,C Class,10.303940118820748,10.39387579463082,-0.030046983020572484,1,0.016506191234703777
15178,3166028,Hyundai,i30,9.769670404801788,9.762137509732403,-0.030046983020572484,1,0.016506191234703777
13949,3163922,Dacia,Duster,10.286707051696972,10.291425172033257,-0.030046983020572484,1,0.016506191234703777
14036,3164095,Volkswagen,Golf,10.124629101179664,9.975424312597706,-0.030046983020572484,1,0.016506191234703777
16447,3168123,Volkswagen,Passat,10.404111313817522,10.086680895446738,-0.030046983020572484,1,0.016506191234703777
15703,3166957,Volkswagen,Passat,9.388486557359657,9.359816066173977,-0.030046983020572484,1,0.016506191234703777
4204,3109701,Kia,Sorento,10.981897133886719,10.841766672191486,-0.030046983020572484,1,0.016506191234703777
15863,3167196,Nissan,Note,9.612466578818832,9.469313346997799,-0.030046983020572484,1,0.016506191234703777
16267,3167839,Audi,A3,9.878169744551839,9.761701214398782,-0.030046983020572484,1,0.016506191234703777
12209,3160495,Mazda,Mazda3,9.47231994707559,9.644640537819239,-0.030046983020572484,1,0.016506191234703777
15329,3166430,Kia,Rio,9.993785190516908,10.01281275067059,-0.030046983020572484,1,0.016506191234703777
15289,3166235,Nissan,Qashqai,9.996522418503318,9.920794621321829,-0.030046983020572484,1,0.016506191234703777
12289,3160603,Nissan,Micra,9.79784922051313,9.855168732515901,-0.030046983020572484,1,0.016506191234703777
4590,3133067,Kia,Ceed,8.400659375160286,8.615082502541489,-0.030046983020572484,1,0.016506191234703777
15193,3166050,Volkswagen,Tiguan,10.75683848463641,10.837664515708264,-0.030046983020572484,1,0.016506191234703777
3788,3107439,Hyundai,Tucson,10.12643108384767,10.103677033331767,-0.030046983020572484,1,0.016506191234703777
236,3085795,Audi,A3,9.964112174352563,10.035020566261844,-0.030046983020572484,1,0.016506191234703777
7234,3140938,Nissan,Micra,9.952039593118293,9.917012966877168,-0.030046983020572484,1,0.016506191234703777
7851,3150856,Volkswagen,Passat,10.643041105910228,10.459342106129613,-0.030046983020572484,1,0.016506191234703777
17133,3169229,Renault,Megane,8.354674261918463,8.713928742917705,-0.030046983020572484,1,0.016506191234703777
10248,3156297,Toyota,Rav4,10.644233711895351,10.564639365080032,-0.030046983020572484,1,0.016506191234703777
6959,3140145,Volkswagen,Tiguan,10.402746539930654,10.425339306113658,-0.030046983020572484,1,0.016506191234703777
6203,3137845,Volkswagen,up!,9.205327830152639,9.19431183445913,-0.030046983020572484,1,0.016506191234703777
3892,3107881,Kia,Sportage,10.201738576337144,9.8172829713224,-0.030046983020572484,1,0.016506191234703777
10283,3156429,Hyundai,Tucson,9.996522418503318,9.904827107191723,-0.030046983020572484,1,0.016506191234703777
2853,3102429,Honda,HR-V,9.996522418503318,10.043348494599993,-0.030046983020572484,1,0.016506191234703777
