,id,make,model,true,predict,score,max_depth,min_samples_leaf,min_samples_split,n_estimators,alpha_value,trainScore
2726,3101761,Nissan,Qashqai,10.220121446937677,10.232392032572475,-0.047936646106517905,8,1,2,100,1,0.03150688372484743
985,3091054,Skoda,Octavia,9.90323752128092,9.868690112425478,-0.047936646106517905,8,1,2,100,1,0.03150688372484743
13867,3163703,Volkswagen,Polo,9.392578591964389,9.407501984774669,-0.047936646106517905,8,1,2,100,1,0.03150688372484743
12631,3161229,Peugeot,5008,10.757796492054402,10.619323968847711,-0.047936646106517905,8,1,2,100,1,0.03150688372484743
15533,3166672,Renault,Clio,9.792555991828847,9.848754823161658,-0.047936646106517905,8,1,2,100,1,0.03150688372484743
925,3090679,Skoda,Superb,10.04107321548869,10.113967771653982,-0.047936646106517905,8,1,2,100,1,0.03150688372484743
1347,3093470,Nissan,Qashqai,9.925738161470948,10.00788213226963,-0.047936646106517905,8,1,2,100,1,0.03150688372484743
9298,3154262,Mazda,Demio,9.099408811268901,9.185040820318221,-0.047936646106517905,8,1,2,100,1,0.03150688372484743
11345,3158790,Audi,A1,9.468851067127684,9.566820825732007,-0.047936646106517905,8,1,2,100,1,0.03150688372484743
15618,3166818,Skoda,Kodiaq,10.544024782823776,10.648199501070497,-0.047936646106517905,8,1,2,100,1,0.03150688372484743
2006,3097851,Dacia,Sandero,8.954802752850968,9.13657757052895,-0.047936646106517905,8,1,2,100,1,0.03150688372484743
14465,3164845,Bmw,X1,10.517320926376348,10.49140123228158,-0.047936646106517905,8,1,2,100,1,0.03150688372484743
3266,3104483,Bmw,5 Series,10.48849257447637,10.415482589943235,-0.047936646106517905,8,1,2,100,1,0.03150688372484743
2193,3098855,Peugeot,Partner,9.185022563991893,9.348022746443693,-0.047936646106517905,8,1,2,100,1,0.03150688372484743
5776,3136612,Ford,Fiesta,9.301094735244646,9.447925302018742,-0.047936646106517905,8,1,2,100,1,0.03150688372484743
1431,3093985,Toyota,Yaris,9.383452989684827,9.43730931707009,-0.047936646106517905,8,1,2,100,1,0.03150688372484743
4555,3132977,Volkswagen,Caddy,9.047821442478408,8.972341968860468,-0.047936646106517905,8,1,2,100,1,0.03150688372484743
15799,3167103,Volkswagen,Touran,9.708080756193517,9.725648275762644,-0.047936646106517905,8,1,2,100,1,0.03150688372484743
13838,3163654,Bmw,5 Series,10.184522582266116,10.244736242683873,-0.047936646106517905,8,1,2,100,1,0.03150688372484743
566,3088210,Nissan,Juke,9.21024036697585,9.589124680099507,-0.047936646106517905,8,1,2,100,1,0.03150688372484743
12298,3160617,Volkswagen,Tiguan,9.648272670221848,9.829266014943196,-0.047936646106517905,8,1,2,100,1,0.03150688372484743
6520,3138750,Bmw,1 Series,9.903487552536127,9.67208751059037,-0.047936646106517905,8,1,2,100,1,0.03150688372484743
2438,3100208,Kia,Sportage,9.74090979777877,9.745200431435483,-0.047936646106517905,8,1,2,100,1,0.03150688372484743
6481,3138649,Audi,A3,9.947504437952903,9.992880782276696,-0.047936646106517905,8,1,2,100,1,0.03150688372484743
10188,3156170,Audi,A3,9.811920359010637,9.950954949721979,-0.047936646106517905,8,1,2,100,1,0.03150688372484743
3980,3108444,Mercedes-benz,C Class,10.543893021838013,10.548151203253983,-0.047936646106517905,8,1,2,100,1,0.03150688372484743
14886,3165522,Kia,Ceed,9.708080756193517,9.649586913405665,-0.047936646106517905,8,1,2,100,1,0.03150688372484743
2605,3101038,Mazda,CX-5,10.084766899751639,10.450822365009907,-0.047936646106517905,8,1,2,100,1,0.03150688372484743
1383,3093634,Bmw,3 Series,9.82822506803558,10.010389980404135,-0.047936646106517905,8,1,2,100,1,0.03150688372484743
3529,3105904,Skoda,Octavia,9.674074388208323,9.708650241692801,-0.047936646106517905,8,1,2,100,1,0.03150688372484743
14717,3165248,Ford,Transit Connect,9.849559210510572,9.751067447388948,-0.047936646106517905,8,1,2,100,1,0.03150688372484743
14105,3164221,Audi,A3,8.098642843759418,8.167383633458334,-0.047936646106517905,8,1,2,100,1,0.03150688372484743
10601,3157023,Renault,Megane,10.274878680310541,9.980540469317031,-0.047936646106517905,8,1,2,100,1,0.03150688372484743
15480,3166534,Hyundai,i10,9.543234787249512,9.649594574366592,-0.047936646106517905,8,1,2,100,1,0.03150688372484743
17080,3169146,Skoda,Octavia,9.973479924356162,10.05998447906403,-0.047936646106517905,8,1,2,100,1,0.03150688372484743
7932,3151040,Renault,Kadjar,9.67721410821299,9.825961804082306,-0.047936646106517905,8,1,2,100,1,0.03150688372484743
17299,3169482,Toyota,Yaris,9.392661928770137,9.372666894182144,-0.047936646106517905,8,1,2,100,1,0.03150688372484743
593,3088327,Volkswagen,T-Roc,10.659609532257463,10.595534374335916,-0.047936646106517905,8,1,2,100,1,0.03150688372484743
7663,3150378,Bmw,5 Series,10.778852117797637,10.756803713955353,-0.047936646106517905,8,1,2,100,1,0.03150688372484743
170,3085382,Volkswagen,Passat,10.032320424379096,9.85486981689489,-0.047936646106517905,8,1,2,100,1,0.03150688372484743
628,3088493,Volkswagen,Passat,10.032320424379096,10.07942699120842,-0.047936646106517905,8,1,2,100,1,0.03150688372484743
1476,3094293,Renault,Kadjar,10.161612072745584,10.075253525198802,-0.047936646106517905,8,1,2,100,1,0.03150688372484743
17223,3169373,Renault,Clio,9.099408811268901,9.151759474981388,-0.047936646106517905,8,1,2,100,1,0.03150688372484743
6958,3140141,Toyota,Prius,9.811920359010637,9.896489612570683,-0.047936646106517905,8,1,2,100,1,0.03150688372484743
10736,3157347,Hyundai,Tucson,10.43396873396056,10.309865905763454,-0.047936646106517905,8,1,2,100,1,0.03150688372484743
523,3087908,Renault,Megane,9.90323752128092,9.792402712743831,-0.047936646106517905,8,1,2,100,1,0.03150688372484743
5902,3137081,Hyundai,Tucson,9.903337541285003,10.097978979739082,-0.047936646106517905,8,1,2,100,1,0.03150688372484743
2514,3100548,Peugeot,3008,10.203592144986466,10.37640209723002,-0.047936646106517905,8,1,2,100,1,0.03150688372484743
12432,3160888,Suzuki,Swift,9.734477009801846,9.51080417241227,-0.047936646106517905,8,1,2,100,1,0.03150688372484743
8818,3153100,Peugeot,3008,10.475878531960273,10.338476081114027,-0.047936646106517905,8,1,2,100,1,0.03150688372484743
11879,3159854,Ford,Mondeo,9.795345393916424,9.697820705035692,-0.047936646106517905,8,1,2,100,1,0.03150688372484743
2621,3101133,Bmw,5 Series,9.047821442478408,9.06973519483008,-0.047936646106517905,8,1,2,100,1,0.03150688372484743
3789,3107440,Mercedes-benz,C Class,10.303940118820748,10.376911554450839,-0.047936646106517905,8,1,2,100,1,0.03150688372484743
15178,3166028,Hyundai,i30,9.769670404801788,9.674772367716496,-0.047936646106517905,8,1,2,100,1,0.03150688372484743
13949,3163922,Dacia,Duster,10.286707051696972,10.288569430997994,-0.047936646106517905,8,1,2,100,1,0.03150688372484743
14036,3164095,Volkswagen,Golf,10.124629101179664,9.747233451805194,-0.047936646106517905,8,1,2,100,1,0.03150688372484743
16447,3168123,Volkswagen,Passat,10.404111313817522,9.963485670770888,-0.047936646106517905,8,1,2,100,1,0.03150688372484743
15703,3166957,Volkswagen,Passat,9.388486557359657,9.495564859506116,-0.047936646106517905,8,1,2,100,1,0.03150688372484743
4204,3109701,Kia,Sorento,10.981897133886719,10.624432432290769,-0.047936646106517905,8,1,2,100,1,0.03150688372484743
15863,3167196,Nissan,Note,9.612466578818832,9.492443865452564,-0.047936646106517905,8,1,2,100,1,0.03150688372484743
16267,3167839,Audi,A3,9.878169744551839,9.809194958152379,-0.047936646106517905,8,1,2,100,1,0.03150688372484743
12209,3160495,Mazda,Mazda3,9.47231994707559,9.80103746906534,-0.047936646106517905,8,1,2,100,1,0.03150688372484743
15329,3166430,Kia,Rio,9.993785190516908,10.083875232260196,-0.047936646106517905,8,1,2,100,1,0.03150688372484743
15289,3166235,Nissan,Qashqai,9.996522418503318,9.957038509292675,-0.047936646106517905,8,1,2,100,1,0.03150688372484743
12289,3160603,Nissan,Micra,9.79784922051313,9.870246070146916,-0.047936646106517905,8,1,2,100,1,0.03150688372484743
4590,3133067,Kia,Ceed,8.400659375160286,8.55457613279146,-0.047936646106517905,8,1,2,100,1,0.03150688372484743
15193,3166050,Volkswagen,Tiguan,10.75683848463641,10.759297507384684,-0.047936646106517905,8,1,2,100,1,0.03150688372484743
3788,3107439,Hyundai,Tucson,10.12643108384767,10.14805342664255,-0.047936646106517905,8,1,2,100,1,0.03150688372484743
236,3085795,Audi,A3,9.964112174352563,9.97767999618124,-0.047936646106517905,8,1,2,100,1,0.03150688372484743
7234,3140938,Nissan,Micra,9.952039593118293,9.940503723348481,-0.047936646106517905,8,1,2,100,1,0.03150688372484743
7851,3150856,Volkswagen,Passat,10.643041105910228,10.383952202958678,-0.047936646106517905,8,1,2,100,1,0.03150688372484743
17133,3169229,Renault,Megane,8.354674261918463,9.010623306139575,-0.047936646106517905,8,1,2,100,1,0.03150688372484743
10248,3156297,Toyota,Rav4,10.644233711895351,10.584869728483772,-0.047936646106517905,8,1,2,100,1,0.03150688372484743
6959,3140145,Volkswagen,Tiguan,10.402746539930654,10.427035632513627,-0.047936646106517905,8,1,2,100,1,0.03150688372484743
6203,3137845,Volkswagen,up!,9.205327830152639,9.245356383749401,-0.047936646106517905,8,1,2,100,1,0.03150688372484743
3892,3107881,Kia,Sportage,10.201738576337144,9.884381580544577,-0.047936646106517905,8,1,2,100,1,0.03150688372484743
10283,3156429,Hyundai,Tucson,9.996522418503318,10.053089029870968,-0.047936646106517905,8,1,2,100,1,0.03150688372484743
2853,3102429,Honda,HR-V,9.996522418503318,10.171017263286686,-0.047936646106517905,8,1,2,100,1,0.03150688372484743
841,3089986,Hyundai,Tucson,9.903437551286085,10.04817771718054,-0.047936646106517905,8,1,2,100,1,0.03150688372484743
