,id,make,model,true,predict,score,max_depth,min_samples_leaf,min_samples_split,n_estimators,alpha_value,trainScore
2726,3101761,Nissan,Qashqai,10.220121446937677,10.139434350081359,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
985,3091054,Skoda,Octavia,9.90323752128092,9.792500821766591,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
13867,3163703,Volkswagen,Polo,9.392578591964389,9.46634498976562,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
12631,3161229,Peugeot,5008,10.757796492054402,10.430590560710039,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
15533,3166672,Renault,Clio,9.792555991828847,9.881539789008462,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
925,3090679,Skoda,Superb,10.04107321548869,10.186901938775478,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
1347,3093470,Nissan,Qashqai,9.925738161470948,10.06877029796941,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
9298,3154262,Mazda,Demio,9.099408811268901,9.507933026076497,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
11345,3158790,Audi,A1,9.468851067127684,9.752816654825507,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
15618,3166818,Skoda,Kodiaq,10.544024782823776,10.666641116841678,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
2006,3097851,Dacia,Sandero,8.954802752850968,9.289530158285498,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
14465,3164845,Bmw,X1,10.517320926376348,10.591687905827659,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
3266,3104483,Bmw,5 Series,10.48849257447637,10.455345488154228,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
2193,3098855,Peugeot,Partner,9.185022563991893,9.45737582589954,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
5776,3136612,Ford,Fiesta,9.301094735244646,9.293048785627759,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
1431,3093985,Toyota,Yaris,9.383452989684827,9.44024297219014,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
