,true,predict,make,model,score,alpha
2480,10.077230753555211,10.077230753555213,Opel,Grandland X,-1.8561433064023808e-30,0
14652,9.959395184474424,9.959395184474426,Opel,Grandland X,-1.8561433064023808e-30,0
16895,10.020826044953361,10.020826044953361,Opel,Grandland X,-1.8561433064023808e-30,0
4619,10.1226230824528,10.1226230824528,Opel,Grandland X,-1.8561433064023808e-30,0
2078,10.544024782823776,10.544024782823778,Opel,Grandland X,-1.8561433064023808e-30,0
8032,10.085600754292345,10.085600754292345,Opel,Grandland X,-1.8561433064023808e-30,0
1025,10.146433731146518,10.146433731146518,Opel,Grandland X,-1.8561433064023808e-30,0
9599,10.643041105910228,10.643041105910227,Opel,Grandland X,-1.8561433064023808e-30,0
7612,10.34158118013602,10.341581180136018,Opel,Grandland X,-1.8561433064023808e-30,0
15921,10.12643108384767,10.12643108384767,Opel,Grandland X,-1.8561433064023808e-30,0
0,10.19988156558993,10.19988156558993,Opel,Grandland X,-1.8561433064023808e-30,0
3735,9.973479924356162,9.973479924356164,Opel,Grandland X,-1.8561433064023808e-30,0
6436,10.201738576337144,10.201738576337146,Opel,Grandland X,-1.8561433064023808e-30,0
4356,10.544024782823776,10.544024782823778,Opel,Grandland X,-1.8561433064023808e-30,0
6545,10.124629101179664,10.124629101179664,Opel,Grandland X,-1.8561433064023808e-30,0
15898,10.307284603543595,10.307284603543597,Opel,Grandland X,-1.8561433064023808e-30,0
3792,10.645424897265505,10.645424897265507,Opel,Grandland X,-1.8561433064023808e-30,0
7613,10.401227936753463,10.401227936753461,Opel,Mokka,-1.3057008086416747e-30,0
3961,9.612466578818832,9.612466578818832,Opel,Mokka,-1.3057008086416747e-30,0
17475,10.357742824813725,10.357742824813723,Opel,Mokka,-1.3057008086416747e-30,0
10981,10.292145542327912,10.29214554232791,Opel,Mokka,-1.3057008086416747e-30,0
12199,9.349667437197281,9.349667437197283,Opel,Mokka,-1.3057008086416747e-30,0
16342,9.949893925350283,9.949893925350283,Opel,Mokka,-1.3057008086416747e-30,0
9024,9.846917201047734,9.846917201047734,Opel,Mokka,-1.3057008086416747e-30,0
10731,9.90098442231801,9.90098442231801,Opel,Mokka,-1.3057008086416747e-30,0
12559,9.67721410821299,9.67721410821299,Opel,Mokka,-1.3057008086416747e-30,0
908,9.54287630006159,9.54287630006159,Opel,Mokka,-1.3057008086416747e-30,0
10314,9.79784922051313,9.79784922051313,Opel,Mokka,-1.3057008086416747e-30,0
12495,10.519888668850758,10.519888668850756,Opel,Mokka,-1.3057008086416747e-30,0
7444,9.67721410821299,9.67721410821299,Opel,Mokka,-1.3057008086416747e-30,0
8900,9.209840246934501,9.209840246934503,Opel,Mokka,-1.3057008086416747e-30,0
11409,10.425253116340453,10.425253116340452,Opel,Mokka,-1.3057008086416747e-30,0
9602,9.898475010712584,9.898475010712584,Opel,Mokka,-1.3057008086416747e-30,0
580,9.795345393916424,9.795345393916424,Opel,Mokka,-1.3057008086416747e-30,0
1863,9.792555991828847,9.792555991828847,Opel,Mokka,-1.3057008086416747e-30,0
17349,9.506734385029985,9.506734385029985,Opel,Mokka,-1.3057008086416747e-30,0
12558,10.124629101179664,10.124629101179664,Opel,Mokka,-1.3057008086416747e-30,0
14341,10.351373376528244,10.351373376528242,Opel,Mokka,-1.3057008086416747e-30,0
12655,9.90098442231801,9.90098442231801,Opel,Mokka,-1.3057008086416747e-30,0
7477,10.349774655164548,10.349774655164547,Opel,Mokka,-1.3057008086416747e-30,0
711,9.849559210510572,9.849559210510572,Opel,Mokka,-1.3057008086416747e-30,0
7608,10.349774655164548,10.349774655164547,Opel,Mokka,-1.3057008086416747e-30,0
12,9.38429367909962,9.38429367909962,Opel,Mokka,-1.3057008086416747e-30,0
5806,10.271596874100524,10.271596874100522,Opel,Mokka,-1.3057008086416747e-30,0
8359,9.099408811268901,9.099408811268901,Opel,Mokka,-1.3057008086416747e-30,0
7476,10.349774655164548,10.349774655164547,Opel,Mokka,-1.3057008086416747e-30,0
3073,9.468464892185638,9.468464892185638,Opel,Insignia,-0.0014411111638990657,0
