,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,make,model
0,0.0007998466491699219,0.0015996932983398438,0.0007990360260009766,0.0015980720520019534,1,{'alpha': 1},-0.009478243128211536,-0.007362483480137089,-0.009987383896352755,-0.00933321009177639,-0.012316731679438522,-0.009695610455183258,0.0015860310383554069,1,-0.007088815829554042,-0.006157911494341748,-0.005529921579508733,-0.00573811828711775,-0.005723555945687827,-0.006047664627242021,0.0005594771551011452,Opel,Grandland X
1,0.0015962600708007812,0.0019550113583810306,0.0007994651794433593,0.0015989303588867187,2,{'alpha': 2},-0.012425273451713735,-0.0076609010929185335,-0.010529001479222203,-0.010919830922023152,-0.015216616112302383,-0.011350324611636002,0.0024728715042237697,2,-0.007981280255223914,-0.007118345871858416,-0.006524154480961485,-0.006674627876912285,-0.0065170600872416695,-0.006963093714439553,0.0005541900848834372,Opel,Grandland X
2,0.0007989406585693359,0.0015978813171386719,0.0007989406585693359,0.0015978813171386719,3,{'alpha': 3},-0.014478806632401402,-0.008175040416225292,-0.011379531477588002,-0.012565928219466048,-0.017706148681035674,-0.012861091085343284,0.003172784189289782,3,-0.008967726108669217,-0.008189041158531928,-0.007596076972384923,-0.007684198531232632,-0.00738341612112178,-0.007964091778388097,0.000567246584604681,Opel,Grandland X
3,0.0007990837097167969,0.0015981674194335937,0.0015977382659912109,0.0019568221668546447,4,{'alpha': 4},-0.016142553423473826,-0.008763609240437887,-0.012294628889548277,-0.014137701246481775,-0.019844861963029262,-0.014236670952594205,0.003709984401173943,4,-0.009978219594183602,-0.009294614512547135,-0.008681257042957982,-0.008697316529018957,-0.008259662957768086,-0.008982214127295152,0.0005972341067753031,Opel,Grandland X
4,0.00159759521484375,0.001956646830643814,0.0007981300354003906,0.0015962600708007812,5,{'alpha': 5},-0.017558526978903928,-0.009369219014133979,-0.01320080690165108,-0.015596185655428198,-0.021690027341885125,-0.01548295317840046,0.004133631210594127,5,-0.010970592863085145,-0.010388848185145079,-0.009743028161743472,-0.009681345534403033,-0.009117179557105722,-0.009980198860296491,0.0006384731975249276,Opel,Grandland X
5,0.000804281234741211,0.001608562469482422,0.0015984535217285155,0.001957697845809542,6,{'alpha': 6},-0.018793681200227924,-0.009965493563549341,-0.014071430880534808,-0.01693602430104282,-0.023293338518072085,-0.016611993692685394,0.004475165879842427,6,-0.011924455599836606,-0.011447903748679895,-0.010763498617700453,-0.010622231134840747,-0.009943494747530016,-0.010940316769717543,0.0006858966470359786,Opel,Grandland X
6,0.0015977859497070313,0.0019568801707236113,0.0007989883422851562,0.0015979766845703124,7,{'alpha': 7},-0.01988812412119416,-0.010540145319675823,-0.014897221420042009,-0.018163757867212544,-0.024697851005927245,-0.017637419946810357,0.004755468067954099,7,-0.012831095463109827,-0.012460529657301675,-0.01173489860567613,-0.011514883362679407,-0.010733710482134734,-0.011855023514180356,0.0007357747441963763,Opel,Grandland X
7,0.0007988929748535157,0.0015977859497070313,0.0007998466491699219,0.0015996932983398438,8,{'alpha': 8},-0.020868961737476186,-0.011087822822954084,-0.015676109959075576,-0.019289620876348872,-0.02593826170068148,-0.01857215541930724,0.004989026185826099,8,-0.013687856994376786,-0.0134223402634485,-0.012654816956076871,-0.012358574516281013,-0.011486571516043223,-0.01272203204924528,0.0007856502269632205,Opel,Grandland X
8,0.0007988452911376953,0.0015976905822753906,0.0007990837097167969,0.0015981674194335937,9,{'alpha': 9},-0.021755798618652167,-0.011606728995267369,-0.016409147597026136,-0.02032436411365721,-0.02704223553568016,-0.01942765497205661,0.005186221113513326,9,-0.014495189320150141,-0.014332663745829869,-0.013523666445785922,-0.013154690571919068,-0.012202599473882173,-0.013541761911513437,0.0008340332412131524,Opel,Grandland X
0,0.0015977859497070313,0.001956880147485226,0.0007989406585693359,0.0015978813171386719,1,{'alpha': 1},-0.00481053465463185,-0.0015396723528012873,-0.004794282519511721,-0.0035184322361534928,-0.005571265217219106,-0.004046837396063491,0.0014163951753942189,1,-0.002975116247277979,-0.0037679959399281814,-0.0029599103282108748,-0.003495548011998094,-0.0026689040298995704,-0.00317349491146294,0.00039918268969838915,Opel,Mokka
1,0.0007989883422851562,0.0015979766845703124,0.0007988929748535157,0.0015977859497070311,2,{'alpha': 2},-0.004829289572839302,-0.002011984558638587,-0.005471485156718825,-0.004889010071684689,-0.005767530244609114,-0.004593859920898103,0.0013383832935354874,2,-0.0034828603557295686,-0.004237088262222641,-0.0034011243796645972,-0.003949262704821534,-0.0032291002951319817,-0.0036598871995140642,0.0003743723566738627,Opel,Mokka
2,0.0015978813171386719,0.0019569969482580254,0.0007989406585693359,0.0015978813171386719,3,{'alpha': 3},-0.00497251486663436,-0.0024467768548445588,-0.006051034103107459,-0.0060811579725513635,-0.006118802489647954,-0.005134057257357138,0.001411038013563895,3,-0.003985526360632703,-0.0047178683510785855,-0.0038390592225766296,-0.00439475194028982,-0.0037663965390146714,-0.004140720482718482,0.00036134050136090454,Opel,Mokka
3,0.0007990360260009766,0.0015980720520019534,0.0015977859497070313,0.0019568801532948224,4,{'alpha': 4},-0.005165621070051506,-0.0028799166926915727,-0.0065725739364930055,-0.007176888551274551,-0.006565567190082263,-0.00567211348811858,0.0015444309010951326,4,-0.00448578749216492,-0.00521143270859173,-0.004281105416239909,-0.004839702077083021,-0.004298540452102131,-0.004623313629236342,0.00035614758959430655,Opel,Mokka
4,0.0015978336334228516,0.0019569385493239818,0.0007989883422851562,0.0015979766845703124,5,{'alpha': 5},-0.0053806583143770235,-0.0033140059664453236,-0.0070503036809624236,-0.008200897085818963,-0.007072612469456836,-0.0062036955034121145,0.0017022498110168185,5,-0.0049815590680997186,-0.0057102862898331,-0.004725432916250617,-0.005281543763265802,-0.00482418253368304,-0.005104600914226455,0.00035656855744268764,Opel,Mokka
5,0.0015979766845703124,0.001957113754839728,0.0007988452911376953,0.0015976905822753906,6,{'alpha': 6},-0.005605377766350908,-0.0037479476586073962,-0.007493722909478936,-0.009166915509400578,-0.007618487714605612,-0.006726490311688686,0.001869149006745472,6,-0.005471913500831587,-0.006209511958016817,-0.005170497329074762,-0.005718864428349353,-0.00534164948071359,-0.005582487339397222,0.0003610329068941121,Opel,Mokka
6,0.0015978813171386719,0.0019569969482580254,0.0007988929748535157,0.0015977859497070313,7,{'alpha': 7},-0.005834438879748696,-0.004180932949240177,-0.007910481430429326,-0.010085040182702735,-0.008190097347339836,-0.007240198157892154,0.002038625863008694,7,-0.005957075215409634,-0.006706648696132935,-0.005615740208617127,-0.006151607201660764,-0.005850584719585515,-0.006056331208281195,0.000368318923933258,Opel,Mokka
7,0.0014142990112304688,0.001764492333452426,0.00020079612731933595,0.0004015922546386719,8,{'alpha': 8},-0.006065741005062824,-0.004612747281212258,-0.008306904390923388,-0.010963345315771016,-0.008779340072671574,-0.007745615613128212,0.0022079066317918184,8,-0.006437871418896852,-0.007200754498962644,-0.0060612343986638445,-0.006580437762617712,-0.006351536895113149,-0.006526366994850839,0.00037748311655024284,Opel,Mokka
8,0.0015979766845703124,0.0019571137548397284,0.0007991790771484375,0.001598358154296875,9,{'alpha': 9},-0.006298717537605269,-0.0050435649773097075,-0.008688187906335841,-0.011808421403045478,-0.009381110907506646,-0.008244000546360588,0.002375808588399155,9,-0.006915349248875474,-0.007691723281981069,-0.006507354806593451,-0.007006302400333449,-0.006845495224442067,-0.006993244992445103,0.0003878219772968057,Opel,Mokka
0,0.0015956878662109375,0.0007978439473547263,0.000797891616821289,0.0009772136685366603,1,{'alpha': 1},-0.04870402144238279,-0.03942277146613824,-0.01966143636642605,-0.056760394571799634,-0.014987266542681168,-0.03590717807788558,0.016202111328498428,1,-0.017977498121228785,-0.022481270932201237,-0.02254936979399642,-0.01778580767281899,-0.02385453874367415,-0.02092969705278392,0.0025371219589770655,Opel,Insignia
1,0.0011967658996582032,0.000977155265241817,0.000797891616821289,0.0009772136685366605,2,{'alpha': 2},-0.05105537304872957,-0.04707384129239261,-0.019098470095383117,-0.055759281187891675,-0.014759040907800001,-0.03754920130643939,0.017114691609850803,2,-0.018632498518961402,-0.023175693863952764,-0.02338128055340519,-0.01850351853288318,-0.024706688942115484,-0.021679936082263603,0.0025949798217260365,Opel,Insignia
2,0.0011970996856689453,0.0009774279903550244,0.0011965274810791016,0.000976960764081104,3,{'alpha': 3},-0.0533090809453889,-0.054105793978793136,-0.018957611342090095,-0.0549381358132318,-0.01490210331270698,-0.03924254507844218,0.018270581872087365,3,-0.019374723594811034,-0.023991344444360452,-0.024348686993762948,-0.0194284133480638,-0.02563898800603211,-0.022556431277406065,0.002633669389975956,Opel,Insignia
3,0.001196432113647461,0.0009768829201879604,0.0011968135833740235,0.0009771942027107523,4,{'alpha': 4},-0.055451923595952544,-0.0606957477087338,-0.019086876571763896,-0.054261556181948514,-0.01520622834325734,-0.040940466480331214,0.01958640017592712,4,-0.0202140976836097,-0.024894127975074537,-0.02543028368615022,-0.020485809720612105,-0.026647900956847825,-0.023534444004458876,0.0026629094419460216,Opel,Insignia
4,0.0015956401824951173,0.0007978201535899215,0.0003989219665527344,0.0007978439331054689,5,{'alpha': 5},-0.05750774080836948,-0.06692774230225619,-0.01942250482188104,-0.0536989886693486,-0.015598399788743372,-0.04263107527811973,0.02099307123482674,5,-0.021139338100434023,-0.025858903379246557,-0.026603148791420325,-0.021634828000933057,-0.027722709456349217,-0.024591785545676637,0.002687632621043249,Opel,Insignia
5,0.0015954017639160157,0.0007977010743574597,0.0011970996856689453,0.0009774278275178766,6,{'alpha': 6},-0.05949713873100803,-0.07285298884996423,-0.01992574799741228,-0.05322576521867088,-0.01604656046810236,-0.04430964025303155,0.022442174689679142,6,-0.022137525134153343,-0.026867752250526546,-0.027848307824523817,-0.022849825119361455,-0.028853027059008964,-0.025711287477514822,0.0027105179743595743,Opel,Insignia
