,dealer,county,make,model,vehicle_year,mileage,last_updated,price,transmission,engine,body,fuel,doors,mpg,owners,color,tax,nct_month,nct_year,download_date,page_id,log_price,car_age,owners_is_null,nct_is_null,mileage_is_0,make_and_model
337,Conlans bmw limerick,Limerick,Bmw,7 Series,2018.0,82562.0, 6 days ago,68950.0,Automatic,3.0,Saloon,Diesel,4.0,44.0,,Grey,,January,2022.0,2022-08-31,3086535,11.141136883221447,4.0,True,False,False,Bmw 7 Series
340,Morrison bmw &amp; mini,Tipperary,Bmw,7 Series,2021.0,22654.0, 6 hours ago,102995.0,Automatic,3.0,Saloon,Diesel,4.0,42.0,,Grey,,March,2025.0,2022-08-31,3086547,11.54243572234417,1.0,True,False,False,Bmw 7 Series
503,Midland car sales carlow,Carlow,Bmw,7 Series,2018.0,96700.0, 3 hours ago,49800.0,Automatic,3.0,Saloon,Diesel,4.0,43.0,1.0,Black,270.0,April,2022.0,2022-08-31,3087669,10.815770263012745,4.0,False,False,False,Bmw 7 Series
569,7 seaters ireland,Dublin,Bmw,7 Series,2016.0,110000.0, 20 hours ago,37900.0,Automatic,3.0,Saloon,Diesel,4.0,48.0,2.0,Black,270.0,March,2024.0,2022-08-31,3088225,10.542706391070517,6.0,False,False,False,Bmw 7 Series
2033,Gt motors,Dublin,Bmw,7 Series,2018.0,123919.0, 12 days ago,49950.0,Automatic,2.0,Saloon,Petrol plug-in hybrid,4.0,,1.0,Grey,170.0,None,,2022-08-31,3098055,10.8187777840767,4.0,False,True,False,Bmw 7 Series
2105,Infinity motors,Kilkenny,Bmw,7 Series,2017.0,89598.0, 17 days ago,44450.0,Automatic,2.0,Saloon,Hybrid,4.0,,,Grey,,None,,2022-08-31,3098463,10.702120240942051,5.0,True,True,False,Bmw 7 Series
2392,Kearys bmw cork,Cork,Bmw,7 Series,2020.0,4924.0, 9 hours ago,84900.0,Automatic,3.0,Saloon,Petrol hybrid,4.0,,,Black,,None,,2022-08-31,3099985,11.349229372299439,2.0,True,True,False,Bmw 7 Series
3546,Colm quinn bmw athlone,Westmeath,Bmw,7 Series,2018.0,191321.0, 2 days ago,47995.0,Automatic,3.0,Saloon,Diesel,4.0,43.0,2.0,Black,,March,2022.0,2022-09-01,3105976,10.778852117797637,4.0,False,False,False,Bmw 7 Series
3640,Windsor motormall,Dublin,Bmw,7 Series,2018.0,92060.0, 1 day ago,48995.0,Automatic,2.0,Saloon,Petrol hybrid,4.0,,2.0,Black,,March,2024.0,2022-09-01,3106539,10.79947353106992,4.0,False,False,False,Bmw 7 Series
3663,Des murphy cars ltd,Kerry,Bmw,7 Series,2016.0,203557.0, 7 days ago,35950.0,Automatic,3.0,Saloon,Diesel,4.0,47.0,2.0,Black,280.0,October,2022.0,2022-09-01,3106729,10.489884363149192,6.0,False,False,False,Bmw 7 Series
3682,Deerpark n11,Dublin,Bmw,7 Series,2017.0,178636.0, 9 hours ago,37950.0,Automatic,3.0,Saloon,Diesel,4.0,48.0,2.0,Grey,270.0,July,2023.0,2022-09-01,3106839,10.544024782823776,5.0,False,False,False,Bmw 7 Series
4038,Colm quinn bmw athlone,Westmeath,Bmw,7 Series,2019.0,94558.0, 2 days ago,79995.0,Automatic,3.0,Saloon,Diesel,4.0,41.0,2.0,Black,,June,2023.0,2022-09-01,3108847,11.289719411702812,3.0,False,False,False,Bmw 7 Series
4285,Granville motors cork,Cork,Bmw,7 Series,2013.0,166663.0, 7 hours ago,22950.0,Automatic,3.0,Saloon,Diesel,4.0,42.0,2.0,Black,400.0,October,2023.0,2022-09-01,3109978,10.04107321548869,9.0,False,False,False,Bmw 7 Series
5192,Windsor motormall,Dublin,Bmw,7 Series,2019.0,73712.0, 1 month ago,79995.0,Automatic,3.0,Saloon,Diesel,4.0,42.0,2.0,Grey,,May,2023.0,2022-09-01,3134924,11.289719411702812,3.0,False,False,False,Bmw 7 Series
5409,Conlans naas,Kildare,Bmw,7 Series,2016.0,119268.0, 27 days ago,43950.0,Automatic,3.0,Saloon,Diesel,5.0,48.0,3.0,Black,,September,2023.0,2022-09-01,3135625,10.690807903113322,6.0,False,False,False,Bmw 7 Series
5530,Connollys seat sligo,Sligo,Bmw,7 Series,2017.0,136100.0, 2 days ago,42895.0,Automatic,3.0,Saloon,Diesel,4.0,48.0,2.0,Grey,,June,2023.0,2022-09-01,3135891,10.666510548007066,5.0,False,False,False,Bmw 7 Series
5889,Conlans bmw limerick,Limerick,Bmw,7 Series,2020.0,40019.0, 1 month ago,102950.0,Automatic,3.0,Saloon,Diesel,4.0,39.0,,Blue,,January,2024.0,2022-09-01,3137044,11.541998712455936,2.0,True,False,False,Bmw 7 Series
6974,Des hughes motors,Laois,Bmw,7 Series,2015.0,90000.0, 24 days ago,30950.0,Automatic,3.0,Saloon,Diesel,4.0,42.0,2.0,Black,,October,2023.0,2022-09-06,3140176,10.340128278112742,7.0,False,False,False,Bmw 7 Series
7452,Cameron cars,Dublin,Bmw,7 Series,2019.0,72466.0, 20 days ago,59950.0,Automatic,3.0,Saloon,Diesel,4.0,43.0,3.0,Silver,270.0,February,2023.0,2022-09-07,3149856,11.00126616045566,3.0,False,False,False,Bmw 7 Series
8187,Ald carmarket,Dublin,Bmw,7 Series,2019.0,74927.0, 5 hours ago,69950.0,Automatic,3.0,Saloon,Diesel,4.0,42.0,1.0,Grey,280.0,May,2023.0,2022-09-07,3151647,11.155535980093628,3.0,False,False,False,Bmw 7 Series
8972,Windsor deansgrange nissan &amp; opel,Dublin,Bmw,7 Series,2016.0,106858.0, 27 days ago,41995.0,Automatic,3.0,Saloon,Diesel,4.0,48.0,3.0,Silver,,November,2022.0,2022-09-07,3153436,10.645305842559727,6.0,False,False,False,Bmw 7 Series
9036,Vector motors,Dublin,Bmw,7 Series,2021.0,7755.0, 2 hours ago,86950.0,Automatic,3.0,Saloon,Petrol hybrid,4.0,,2.0,Silver,,None,,2022-09-07,3153566,11.37308851978243,1.0,False,True,False,Bmw 7 Series
9037,Vector motors,Dublin,Bmw,7 Series,2021.0,7755.0, 1 hour ago,86950.0,Automatic,3.0,Saloon,Petrol hybrid,4.0,,2.0,Silver,,None,,2022-09-07,3153567,11.37308851978243,1.0,False,True,False,Bmw 7 Series
9710,Bill griffin motors,Dublin,Bmw,7 Series,2018.0,116047.0, 20 hours ago,47900.0,Automatic,2.0,Saloon,Petrol plug-in hybrid,4.0,,1.0,Blue,,August,2024.0,2022-09-07,3155191,10.776870783399007,4.0,False,False,False,Bmw 7 Series
9724,Bill griffin motors,Dublin,Bmw,7 Series,2018.0,116047.0, 20 hours ago,47900.0,Automatic,2.0,Saloon,Petrol hybrid,4.0,,1.0,Blue,,August,2024.0,2022-09-07,3155223,10.776870783399007,4.0,False,False,False,Bmw 7 Series
9775,Toyota long mile,Dublin,Bmw,7 Series,2018.0,48950.0, 3 days ago,52795.0,Automatic,2.0,Saloon,Petrol plug-in hybrid,4.0,43.0,1.0,Silver,,September,2022.0,2022-09-07,3155327,10.874171768240615,4.0,False,False,False,Bmw 7 Series
10083,Paul tobin ltd.,Dublin,Bmw,7 Series,2020.0,53912.0, 26 days ago,87950.0,Automatic,3.0,Saloon,Diesel,4.0,,1.0,Grey,,None,,2022-09-07,3155957,11.384523750165704,2.0,False,True,False,Bmw 7 Series
10578,Oliver geoghegan car sales,Galway,Bmw,7 Series,2013.0,255080.0, in 56 minutes,19950.0,Automatic,3.0,Saloon,Diesel,4.0,42.0,2.0,Silver,,July,2023.0,2022-09-07,3156981,9.90098442231801,9.0,False,False,False,Bmw 7 Series
10688,Frank keane blackrock,Dublin,Bmw,7 Series,2019.0,47145.0, 3 hours ago,79950.0,Automatic,3.0,Saloon,Diesel,4.0,43.0,,Grey,,June,2023.0,2022-09-07,3157255,11.2891567182621,3.0,True,False,False,Bmw 7 Series
12194,Frank keane blackrock,Dublin,Bmw,7 Series,2019.0,33665.0, 6 hours ago,76950.0,Automatic,3.0,Saloon,Petrol hybrid,4.0,,,Blue,,September,2023.0,2022-09-07,3160475,11.250911139267025,3.0,True,False,False,Bmw 7 Series
12261,Kearys bmw cork,Cork,Bmw,7 Series,2018.0,50425.0, 6 hours ago,56900.0,Automatic,3.0,Saloon,Diesel,4.0,50.0,,Black,,October,2021.0,2022-09-07,3160556,10.949050620114422,4.0,True,False,False,Bmw 7 Series
12731,Gt motors,Dublin,Bmw,7 Series,2019.0,38624.0, 14 hours ago,79995.0,Automatic,3.0,Saloon,Petrol plug-in hybrid,4.0,,1.0,White,170.0,September,2023.0,2022-09-07,3161421,11.289719411702812,3.0,False,False,False,Bmw 7 Series
13513,Sd autos,Dublin,Bmw,7 Series,2017.0,226920.0, 9 days ago,34900.0,Automatic,2.0,Saloon,Petrol plug-in hybrid,4.0,,1.0,Black,170.0,February,2023.0,2022-09-07,3163074,10.460242108190519,5.0,False,False,False,Bmw 7 Series
14929,Beechlawn motors ltd,Dublin,Bmw,7 Series,2016.0,171200.0, 13 days ago,38950.0,Automatic,3.0,Saloon,Diesel,4.0,45.0,3.0,Grey,,June,2024.0,2022-09-07,3165586,10.570034051298894,6.0,False,False,False,Bmw 7 Series
15164,Paul tobin ltd.,Dublin,Bmw,7 Series,2022.0,1609.0, 12 days ago,117950.0,Automatic,3.0,Saloon,Diesel,4.0,,1.0,Grey,,None,,2022-09-07,3166004,11.678016084835821,0.0,False,True,False,Bmw 7 Series
15165,Paul tobin ltd.,Dublin,Bmw,7 Series,2022.0,1000.0, 5 days ago,104950.0,Automatic,3.0,Saloon,Petrol plug-in hybrid,4.0,,,Blue,,None,,2022-09-07,3166005,11.56123932524878,0.0,True,True,False,Bmw 7 Series
15411,Paul tobin ltd.,Dublin,Bmw,7 Series,2019.0,25749.0, 12 days ago,79950.0,Automatic,3.0,Saloon,Diesel,4.0,42.0,2.0,Black,,April,2023.0,2022-09-07,3166415,11.2891567182621,3.0,False,False,False,Bmw 7 Series
15510,Frank keane bmw,Dublin,Bmw,7 Series,2020.0,21513.0, 9 hours ago,79950.0,Automatic,3.0,Saloon,Petrol hybrid,4.0,,,Blue,,January,2024.0,2022-09-07,3166642,11.2891567182621,2.0,True,False,False,Bmw 7 Series
15726,Sean fleming motors,Galway,Bmw,7 Series,2020.0,18802.0, 18 hours ago,81950.0,Automatic,3.0,Saloon,Hybrid,4.0,,1.0,Grey,,None,,2022-09-07,3166988,11.313864584171975,2.0,False,True,False,Bmw 7 Series
15804,Bluegate car store by frank keane,Dublin,Bmw,7 Series,2021.0,111409.0, 42 minutes ago,82995.0,Automatic,3.0,Saloon,Diesel,4.0,50.0,1.0,Grey,600.0,January,2025.0,2022-09-07,3167111,11.32653564400032,1.0,False,False,False,Bmw 7 Series
15862,Bluegate car store by frank keane,Dublin,Bmw,7 Series,2019.0,128000.0, 7 hours ago,53995.0,Automatic,2.0,Saloon,Petrol plug-in hybrid,4.0,,1.0,Black,,January,2023.0,2022-09-07,3167195,10.89664672866686,3.0,False,False,False,Bmw 7 Series
16173,Autosports,Dublin,Bmw,7 Series,2016.0,20900.0, 6 days ago,32900.0,Automatic,3.0,Saloon,Diesel,4.0,47.0,3.0,Blue,280.0,November,2024.0,2022-09-07,3167689,10.401227936753463,6.0,False,False,False,Bmw 7 Series
16174,Autosports,Dublin,Bmw,7 Series,2011.0,255885.0, 9 hours ago,14900.0,Automatic,3.0,Saloon,Diesel,4.0,35.0,3.0,Silver,95.0,October,2023.0,2022-09-07,3167690,9.60911649193355,11.0,False,False,False,Bmw 7 Series
16175,Autosports,Dublin,Bmw,7 Series,2009.0,249447.0, 9 days ago,11900.0,Automatic,3.0,Saloon,Diesel,4.0,33.0,2.0,Grey,790.0,November,2022.0,2022-09-07,3167692,9.38429367909962,13.0,False,False,False,Bmw 7 Series
16436,Frank keane bmw,Dublin,Bmw,7 Series,2017.0,64880.0, 10 hours ago,49950.0,Automatic,3.0,Saloon,Diesel,4.0,48.0,,Grey,,September,2023.0,2022-09-07,3168110,10.8187777840767,5.0,True,False,False,Bmw 7 Series
16971,"Windsor bray nissan, renault and dacia",Dublin,Bmw,7 Series,2017.0,149998.0, 8 days ago,43995.0,Automatic,3.0,Saloon,Diesel,4.0,48.0,1.0,Grey,,May,2021.0,2022-09-07,3168917,10.69183127007966,5.0,False,False,False,Bmw 7 Series
17068,Clonskeagh motors,Dublin,Bmw,7 Series,2021.0,21833.0, 18 hours ago,87950.0,Automatic,3.0,Saloon,Petrol hybrid,4.0,29.0,2.0,Black,,None,,2022-09-07,3169125,11.384523750165704,1.0,False,True,False,Bmw 7 Series
