,dealer,county,make,model,vehicle_year,mileage,last_updated,price,transmission,engine,body,fuel,doors,mpg,owners,color,tax,nct_month,nct_year,download_date,page_id,log_price,car_age,owners_is_null,nct_is_null,mileage_is_0,make_and_model
905,Derek considine car sales,Clare,Peugeot,Partner,2017.0,151316.0, 19 hours ago,10950.0,Manual,1.6,Van,Diesel,4.0,45.0,1.0,White,333.0,None,,2022-08-31,3090579,9.301094735244646,5.0,False,True,False,Peugeot Partner
1267,David murphy car sales,Clare,Peugeot,Partner,2017.0,128000.0, 14 hours ago,11650.0,Manual,1.6,Van,Diesel,3.0,55.0,1.0,White,333.0,None,,2022-08-31,3092846,9.363061458993847,5.0,False,True,False,Peugeot Partner
1678,Derek considine car sales,Clare,Peugeot,Partner,2017.0,193426.0, 23 hours ago,10500.0,Manual,1.6,Van,Diesel,4.0,45.0,1.0,White,333.0,None,,2022-08-31,3095673,9.259130536145614,5.0,False,True,False,Peugeot Partner
2001,Ballinagh auto sales,Cavan,Peugeot,Partner,2017.0,159998.0, 1 month ago,10550.0,Manual,1.6,Van,Diesel,,57.0,1.0,White,,May,2023.0,2022-08-31,3097804,9.263881138904212,5.0,False,False,False,Peugeot Partner
2193,Fdr car sales &amp; services,Donegal,Peugeot,Partner,2018.0,183215.0, 2 days ago,9750.0,Manual,1.6,Van,Diesel,2.0,57.0,1.0,Silver,333.0,None,,2022-08-31,3098855,9.185022563991893,4.0,False,True,False,Peugeot Partner
2517,Al hayes motors ltd,Galway,Peugeot,Partner,2015.0,222478.0, 2 months ago,9500.0,Manual,1.6,Mpv,Diesel,5.0,,3.0,White,,None,,2022-08-31,3100555,9.159047077588632,7.0,False,True,False,Peugeot Partner
3009,Kieran whelton motors ltd,Mayo,Peugeot,Partner,2015.0,214000.0, 5 days ago,7950.0,Manual,1.6,Van,Diesel,5.0,,2.0,White,333.0,July,2023.0,2022-08-31,3103203,8.980927207648378,7.0,False,False,False,Peugeot Partner
3165,Hanly motors,Roscommon,Peugeot,Partner,2019.0,84164.0, 1 month ago,14800.0,Manual,1.6,Van,Diesel,2.0,55.0,1.0,White,333.0,July,2023.0,2022-08-31,3104043,9.602382459752207,3.0,False,False,False,Peugeot Partner
3185,Clonakilty car centre,Cork,Peugeot,Partner,2017.0,180376.0, 3 hours ago,9950.0,Manual,1.6,Mpv,Diesel,5.0,55.0,2.0,White,,None,,2022-08-31,3104093,9.205327830152639,5.0,False,True,False,Peugeot Partner
3772,Derek considine car sales,Clare,Peugeot,Partner,2013.0,237491.0, 1 day ago,6950.0,Manual,1.6,Mpv,Diesel,5.0,44.0,4.0,White,333.0,None,,2022-09-01,3107355,8.846496938558838,9.0,False,True,False,Peugeot Partner
3773,Private,Donegal,Peugeot,Partner,2018.0,76974.0, 1 month ago,15550.0,Manual,1.6,Van,Diesel,4.0,,2.0,White,,August,2022.0,2022-09-01,3107356,9.65181591760738,4.0,False,False,False,Peugeot Partner
3775,Derek considine car sales,Clare,Peugeot,Partner,2016.0,196666.0, 1 day ago,9950.0,Manual,1.6,Mpv,Diesel,5.0,45.0,1.0,White,,None,,2022-09-01,3107362,9.205327830152639,6.0,False,True,False,Peugeot Partner
3902,Bill griffin motors,Dublin,Peugeot,Partner,2018.0,160108.0, 1 day ago,13700.0,Manual,1.6,Van,Diesel,3.0,,1.0,White,333.0,July,2022.0,2022-09-01,3107941,9.525151111816216,4.0,False,False,False,Peugeot Partner
3904,Bill griffin motors,Dublin,Peugeot,Partner,2018.0,160108.0, 1 day ago,11140.0,Manual,1.6,Van,Diesel,3.0,47.0,1.0,White,333.0,July,2022.0,2022-09-01,3107946,9.318297513481275,4.0,False,False,False,Peugeot Partner
3958,Imotors,Donegal,Peugeot,Partner,2019.0,117155.0, 7 days ago,14950.0,Manual,1.6,Van,Diesel,5.0,57.0,1.0,White,,None,,2022-09-01,3108236,9.612466578818832,3.0,False,True,False,Peugeot Partner
3991,Bluebell motor company,Dublin,Peugeot,Partner,2022.0,0.0, 1 month ago,33725.0,Manual,,Van,Electric,,,,None,,None,,2022-09-01,3108586,10.425994681075956,0.0,True,True,True,Peugeot Partner
4002,M17 motors,Galway,Peugeot,Partner,2018.0,221998.0, 1 day ago,9750.0,Manual,1.6,Mpv,Diesel,3.0,47.0,,Grey,,None,,2022-09-01,3108675,9.185022563991893,4.0,True,True,False,Peugeot Partner
4978,Derek considine car sales,Clare,Peugeot,Partner,2016.0,209066.0, 2 days ago,9950.0,Manual,1.6,Van,Diesel,,56.0,2.0,White,,None,,2022-09-01,3134218,9.205327830152639,6.0,False,True,False,Peugeot Partner
4989,Derek considine car sales,Clare,Peugeot,Partner,2017.0,143474.0, 2 days ago,10950.0,Manual,1.6,Van,Diesel,,45.0,1.0,White,333.0,None,,2022-09-01,3134240,9.301094735244646,5.0,False,True,False,Peugeot Partner
5717,Freedom mobility,Mayo,Peugeot,Partner,2013.0,98419.0, 1 day ago,13500.0,Manual,1.6,Mpv,Diesel,5.0,44.0,2.0,Blue,280.0,May,2023.0,2022-09-01,3136445,9.51044496442652,9.0,False,False,False,Peugeot Partner
6339,Well priced cars,Dublin,Peugeot,Partner,2018.0,103338.0, 3 days ago,12750.0,Manual,1.6,Van,Diesel,2.0,55.0,1.0,Black,333.0,None,,2022-09-01,3138223,9.453286550586572,4.0,False,True,False,Peugeot Partner
6340,Well priced cars,Dublin,Peugeot,Partner,2018.0,87252.0, 6 days ago,13000.0,Manual,1.6,Van,Diesel,2.0,55.0,1.0,Black,333.0,None,,2022-09-01,3138225,9.472704636443673,4.0,False,True,False,Peugeot Partner
6416,Colm cronin car sales,Kerry,Peugeot,Partner,2016.0,170970.0, 1 month ago,8950.0,Manual,1.6,Van,Diesel,4.0,47.0,1.0,White,333.0,None,,2022-09-01,3138478,9.099408811268901,6.0,False,True,False,Peugeot Partner
6751,Bluebell motor company,Dublin,Peugeot,Partner,2022.0,4.0, 1 month ago,35500.0,Automatic,,Van,Electric,5.0,,,White,,None,,2022-09-06,3139486,10.477287975463508,0.0,True,True,False,Peugeot Partner
7525,Derek considine car sales,Clare,Peugeot,Partner,2017.0,128485.0, 3 hours ago,12950.0,Manual,1.6,Van,Diesel,3.0,55.0,2.0,Red,333.0,None,,2022-09-07,3150075,9.468851067127684,5.0,False,True,False,Peugeot Partner
