,dealer,county,make,model,vehicle_year,mileage,last_updated,price,transmission,engine,body,fuel,doors,mpg,owners,color,tax,nct_month,nct_year,download_date,page_id,log_price,age,owners_is_null,nct_is_null,mileage_is_0,make_and_model
34,Blackwater motors fermoy,Cork,Seat,Leon,2018.0,71176.0, 4 days ago,19950.0,Manual,1.6,Hatchback,Diesel,5.0,59.0,2.0,Blue,,February,2024.0,2022-08-30,3084608,9.90098442231801,4.0,False,False,False,Seat_Leon
35,Blackwater motors fermoy,Cork,Seat,Leon,2017.0,121812.0, 4 days ago,19950.0,Automatic,1.6,Estate,Diesel,5.0,62.0,1.0,Grey,,February,2023.0,2022-08-30,3084610,9.90098442231801,5.0,False,False,False,Seat_Leon
91,Enniscorthy motor company,Wexford,Seat,Leon,2019.0,57889.0, 6 days ago,21975.0,Manual,1.5,Hatchback,Petrol,5.0,45.0,1.0,Grey,,January,2023.0,2022-08-30,3084991,9.997660722553377,3.0,False,False,False,Seat_Leon
240,Albert berry motors ltd.,Monaghan,Seat,Leon,2019.0,78853.0, 7 days ago,25950.0,Automatic,2.0,Estate,Diesel,5.0,53.0,1.0,Grey,200.0,April,2023.0,2022-08-31,3085845,10.163926888594034,3.0,False,False,False,Seat_Leon
295,Lynch motors,Louth,Seat,Leon,2013.0,111044.0, 7 hours ago,11995.0,Manual,1.2,Hatchback,Petrol,5.0,,1.0,Blue,200.0,May,2024.0,2022-08-31,3086218,9.392245175273795,9.0,False,False,False,Seat_Leon
326,"Spirit seat, cupra &amp; premium",Dublin,Seat,Leon,2019.0,29598.0, 13 days ago,20450.0,Manual,1.0,Hatchback,Petrol,5.0,49.0,2.0,White,,March,2023.0,2022-08-31,3086403,9.925738161470948,3.0,False,False,False,Seat_Leon
739,Barlo motor group thurles (ford),Tipperary,Seat,Leon,2018.0,89999.0, 14 days ago,18495.0,Manual,1.6,Hatchback,Diesel,5.0,59.0,1.0,White,,August,2022.0,2022-08-31,3089249,9.825255704266555,4.0,False,False,False,Seat_Leon
1039,Cars4you,Dublin,Seat,Leon,2018.0,148000.0, 2 months ago,18650.0,Manual,2.0,Hatchback,Diesel,5.0,53.0,1.0,Blue,200.0,October,2022.0,2022-08-31,3091333,9.833601425071961,4.0,False,False,False,Seat_Leon
1057,Conor cassidy cars,Roscommon,Seat,Leon,2017.0,201163.0, 3 months ago,16750.0,Manual,1.4,Hatchback,Petrol,5.0,45.0,1.0,Blue,,None,,2022-08-31,3091463,9.726153537253213,5.0,False,True,False,Seat_Leon
1326,Mccoy motors ltd,Dublin,Seat,Leon,2019.0,32363.0, 24 days ago,22950.0,Manual,1.5,Estate,Petrol,5.0,45.0,1.0,Grey,,August,2023.0,2022-08-31,3093260,10.04107321548869,3.0,False,False,False,Seat_Leon
1335,Quinn motors,Kilkenny,Seat,Leon,2019.0,54000.0, 6 days ago,21950.0,Manual,1.0,Hatchback,Petrol,5.0,49.0,1.0,Red,200.0,February,2023.0,2022-08-31,3093335,9.996522418503318,3.0,False,False,False,Seat_Leon
1381,Rathgar motors,Dublin,Seat,Leon,2014.0,112.0, 3 months ago,12950.0,Manual,1.2,Hatchback,Petrol,3.0,48.0,2.0,White,200.0,March,2024.0,2022-08-31,3093632,9.468851067127684,8.0,False,False,False,Seat_Leon
1529,Blackwater motors fermoy,Cork,Seat,Leon,2019.0,49432.0, 5 days ago,22950.0,Manual,1.5,Hatchback,Petrol,5.0,45.0,1.0,Blue,,March,2023.0,2022-08-31,3094716,10.04107321548869,3.0,False,False,False,Seat_Leon
1828,Barlo nissan kilkenny,Kilkenny,Seat,Leon,2020.0,37243.0, 7 days ago,25975.0,Manual,1.5,Estate,Petrol,5.0,45.0,2.0,Blue,,July,2024.0,2022-08-31,3096731,10.164889815967427,2.0,False,False,False,Seat_Leon
2194,Bill griffin motors,Dublin,Seat,Leon,2020.0,44256.0, 2 days ago,36900.0,Automatic,2.0,Hatchback,Petrol,5.0,36.0,1.0,Black,,None,,2022-08-31,3098857,10.515966830028619,2.0,False,True,False,Seat_Leon
2230,Eoin reynolds cars ltd,Wexford,Seat,Leon,2015.0,144000.0, 23 hours ago,16995.0,Manual,2.0,Hatchback,Diesel,5.0,57.0,2.0,White,190.0,June,2023.0,2022-08-31,3099044,9.740674462130217,7.0,False,False,False,Seat_Leon
2332,Dmg motors ltd,Donegal,Seat,Leon,2018.0,47998.0, 3 months ago,23900.0,Manual,2.0,Estate,Diesel,,53.0,1.0,Blue,,March,2024.0,2022-08-31,3099726,10.081633737919603,4.0,False,False,False,Seat_Leon
2963,Aaamber motors ltd,Galway,Seat,Leon,2017.0,122129.0, 11 hours ago,18950.0,Manual,2.0,Hatchback,Diesel,3.0,55.0,1.0,White,200.0,June,2024.0,2022-08-31,3102978,9.849559210510572,5.0,False,False,False,Seat_Leon
3236,Johnson &amp; perrott  honda peugeot seat,Cork,Seat,Leon,2021.0,20438.0, 12 hours ago,25900.0,Manual,1.0,Hatchback,Petrol,5.0,42.0,1.0,Red,,May,2025.0,2022-08-31,3104315,10.16199824768763,1.0,False,False,False,Seat_Leon
3342,Rochford motors ltd,Mayo,Seat,Leon,2019.0,53000.0, 7 hours ago,26950.0,Automatic,2.0,Hatchback,Diesel,5.0,53.0,2.0,Blue,200.0,July,2023.0,2022-08-31,3104805,10.201738576337144,3.0,False,False,False,Seat_Leon
3377,Blackwater motors fermoy,Cork,Seat,Leon,2016.0,145352.0, 5 days ago,14950.0,Manual,1.6,Hatchback,Diesel,5.0,62.0,2.0,White,,February,2020.0,2022-08-31,3105024,9.612466578818832,6.0,False,False,False,Seat_Leon
3548,Simon kavanagh motors ltd.,Waterford,Seat,Leon,2019.0,22360.0, 3 days ago,20888.0,Manual,1.0,Hatchback,Petrol,5.0,49.0,1.0,Blue,200.0,February,2023.0,2022-09-01,3105983,9.946930110378965,3.0,False,False,False,Seat_Leon
3573,Bradys cavan,Cavan,Seat,Leon,2017.0,95000.0, 8 days ago,15450.0,Manual,1.6,Hatchback,Diesel,5.0,57.0,1.0,Blue,190.0,January,2023.0,2022-09-01,3106125,9.645364282325891,5.0,False,False,False,Seat_Leon
3724,Azkar,Waterford,Seat,Leon,2019.0,40233.0, 11 hours ago,20995.0,Manual,1.0,Hatchback,Petrol,5.0,48.0,1.0,Blue,200.0,July,2023.0,2022-09-01,3107094,9.952039593118293,3.0,False,False,False,Seat_Leon
3760,Quantum autos,Wexford,Seat,Leon,2019.0,40233.0, 22 hours ago,20995.0,Manual,1.0,Hatchback,Petrol,5.0,48.0,1.0,Blue,190.0,July,2023.0,2022-09-01,3107277,9.952039593118293,3.0,False,False,False,Seat_Leon
4373,George corbett motors,Waterford,Seat,Leon,2021.0,8655.0, 1 month ago,39995.0,Automatic,1.4,Estate,Petrol hybrid,5.0,,1.0,Blue,,February,2025.0,2022-09-01,3110753,10.596509725282923,1.0,False,False,False,Seat_Leon
