,age,mileage,engine,mpg,owners,nct_remaining,transmission,body,color
3342,3.0,53000.0,2.0,53.0,2.0,0.8333333333333334,Automatic,Hatchback,Blue
8111,6.0,81479.0,1.2,48.0,4.0,1.6666666666666667,Manual,Estate,Black
12060,5.0,130356.0,1.6,59.0,1.0,1.9166666666666667,Manual,Hatchback,Blue
9329,4.0,102999.0,1.6,55.0,3.0,-0.16666666666666666,Manual,Estate,Red
1381,8.0,105961.91726090078,1.2,48.0,2.0,1.5,Manual,Hatchback,White
1039,4.0,148000.0,2.0,53.0,1.0,0.08333333333333333,Manual,Hatchback,Blue
6872,6.0,110573.0,1.2,48.0,1.0,0.08333333333333333,Manual,Hatchback,Red
5676,4.0,101998.0,1.6,55.0,2.0,1.5,Manual,Hatchback,Blue
1057,5.0,201163.0,1.4,45.0,1.0,-1.0,Manual,Hatchback,Blue
7149,4.0,83685.0,2.0,48.0,1.0,-1.0,Manual,Hatchback,Black
16625,8.0,79998.0,1.6,57.0,3.0,1.6666666666666667,Manual,Hatchback,White
4374,1.0,6612.0,1.0,48.0,1.0,2.8333333333333335,Manual,Estate,Red
15830,7.0,196000.0,1.6,57.0,2.0,0.8333333333333334,Manual,Hatchback,Grey
15139,7.0,204658.0,2.0,50.0,2.0,1.0,Automatic,Hatchback,White
10842,4.0,186683.0,1.6,59.0,1.0,-1.0,Manual,Hatchback,White
10841,14.0,127532.0,1.4,34.0,4.0,0.5,Manual,Hatchback,Grey
1326,3.0,32363.0,1.5,45.0,1.0,0.9166666666666666,Manual,Estate,Grey
11493,3.0,62764.0,1.6,56.0,2.0,0.5833333333333333,Manual,Estate,White
7107,7.0,94321.0,2.0,56.0,1.0,1.6666666666666667,Manual,Estate,White
35,5.0,121812.0,1.6,62.0,1.0,0.41666666666666663,Automatic,Estate,Grey
8895,8.0,151277.0,1.6,62.0,2.0,1.3333333333333335,Manual,Estate,Silver
5162,2.0,13843.0,2.0,64.0,1.0,2.1666666666666665,Manual,Estate,Grey
16965,7.0,148059.0,2.0,56.0,2.0,-1.0,Manual,Hatchback,Black
14381,8.0,210818.0,1.6,48.0,2.0,-0.16666666666666666,Manual,Hatchback,Grey
15424,7.0,187000.0,2.0,48.0,1.0,1.0833333333333333,Manual,Hatchback,Blue
6728,2.0,20084.0,1.5,46.0,1.0,1.4166666666666665,Automatic,Hatchback,Blue
11535,5.0,122230.0,1.6,59.0,2.0,1.6666666666666667,Manual,Hatchback,Grey
8333,5.0,71697.0,1.2,48.0,2.0,0.5,Manual,Hatchback,White
295,9.0,111044.0,1.2,48.0,1.0,1.6666666666666667,Manual,Hatchback,Blue
1529,3.0,49432.0,1.5,45.0,1.0,0.5,Manual,Hatchback,Blue
2963,5.0,122129.0,2.0,55.0,1.0,1.75,Manual,Hatchback,White
16577,7.0,143422.0,2.0,55.0,2.0,1.1666666666666667,Manual,Hatchback,White
11359,8.0,171000.0,2.0,53.0,5.0,1.75,Automatic,Hatchback,Blue
8344,1.0,10466.0,2.0,53.0,2.0,2.8333333333333335,Manual,Hatchback,Grey
3573,5.0,95000.0,1.6,57.0,1.0,0.33333333333333337,Manual,Hatchback,Blue
8375,4.0,131515.0,1.6,59.0,1.0,-0.16666666666666666,Manual,Estate,Grey
10140,5.0,133617.0,1.6,59.0,1.0,-1.0,Manual,Hatchback,White
10109,5.0,198000.0,2.0,56.0,2.0,0.5,Manual,Hatchback,Red
4645,4.0,118769.0,1.6,48.0,1.0,2.0,Manual,Hatchback,Blue
17439,0.0,22.0,1.0,48.0,1.0,3.8333333333333335,Manual,Estate,Grey
14031,3.0,56000.0,2.0,53.0,2.0,0.5,Automatic,Hatchback,Grey
4373,1.0,8655.0,1.4,48.0,1.0,2.4166666666666665,Automatic,Estate,Blue
5414,2.0,55998.0,2.0,48.0,1.0,1.5833333333333333,Automatic,Estate,Blue
739,4.0,89999.0,1.6,59.0,1.0,-0.08333333333333333,Manual,Hatchback,White
7105,5.0,120700.0,1.6,59.0,1.0,-1.0,Manual,Hatchback,Black
5829,5.0,132463.0,1.6,57.0,2.0,0.33333333333333337,Manual,Hatchback,Red
16542,4.0,45941.0,1.2,48.0,2.0,-0.16666666666666666,Manual,Hatchback,Red
326,3.0,29598.0,1.0,49.0,2.0,0.5,Manual,Hatchback,White
3377,6.0,145352.0,1.6,62.0,2.0,-2.5833333333333335,Manual,Hatchback,White
3724,3.0,40233.0,1.0,48.0,1.0,0.8333333333333334,Manual,Hatchback,Blue
14021,9.0,165800.0,1.6,57.0,3.0,1.25,Manual,Hatchback,Black
7807,5.0,57111.0,1.2,48.0,2.0,0.8333333333333334,Manual,Hatchback,Red
9208,3.0,77634.0,2.0,53.0,2.0,0.5,Automatic,Estate,Red
